"","pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","prev_pitch_type"
"2962","8","6","0","0",2,"2","2",2,0,0,0,0,"2"
"2964","2","7","0","1",3,"1","0",0,0,0,0,1,"8"
"2973","2","1","0","1",4,"0","1",0,0,0,0,1,"2"
"2974","8","1","0","1",4,"0","2",0,0,0,0,1,"2"
"2976","2","2","0","0",4,"0","1",1,0,0,0,1,"8"
"2977","8","2","0","0",4,"1","1",1,0,0,0,1,"2"
"2980","8","3","0","1",4,"0","0",2,0,0,0,1,"-1"
"2991","2","6","0","0",5,"0","2",2,0,0,0,1,"8"
"2993","11","7","0","1",6,"0","1",0,0,0,0,1,"2"
"2997","2","7","0","1",6,"2","2",0,0,0,0,1,"11"
"3000","2","8","0","1",6,"0","1",0,1,0,0,1,"2"
"3001","8","8","0","1",6,"0","2",0,1,0,0,1,"2"
"3012","2","3","0","0",7,"1","2",0,0,0,0,1,"8"
"3019","8","5","0","1",7,"0","0",1,0,0,0,1,"-1"
"3021","2","5","0","1",7,"1","1",1,0,0,0,1,"8"
"3024","2","6","0","1",7,"0","1",2,1,0,0,1,"2"
"3025","8","6","0","1",7,"1","1",2,1,0,0,1,"2"
"3030","2","7","0","0",8,"1","1",0,0,0,0,1,"8"
"3033","2","8","0","1",8,"0","1",1,0,0,0,1,"2"
"3034","8","8","0","1",8,"0","2",1,0,0,0,1,"2"
"3039","2","1","0","1",8,"0","0",2,1,0,0,1,"-1"
"3045","2","1","0","1",8,"3","2",2,1,0,0,1,"2"
"3051","2","3","0","0",9,"0","1",1,0,0,0,1,"2"
"3054","2","3","0","0",9,"2","2",1,0,0,0,1,"2"
"3058","8","4","0","1",9,"1","2",1,0,0,0,1,"2"
"3060","2","5","0","1",9,"0","0",1,1,0,0,1,"-1"
"3061","8","5","0","1",9,"0","1",1,1,0,0,1,"2"
"3070","8","6","0","1",9,"2","2",2,1,1,0,1,"8"
"3075","2","1","0","0",1,"2","2",0,0,0,0,0,"8"
"3078","2","2","0","1",1,"0","0",0,0,0,0,0,"-1"
"3088","8","4","0","1",1,"3","2",2,0,0,0,0,"2"
"3090","2","6","0","1",2,"0","0",1,0,0,0,0,"-1"
"3093","2","6","0","1",2,"1","2",1,0,0,0,0,"2"
"3096","2","7","0","1",2,"2","0",2,0,0,0,0,"2"
"3099","2","9","0","1",3,"0","0",1,0,0,0,1,"-1"
"3112","8","3","0","1",4,"0","0",0,0,0,0,1,"-1"
"3118","8","3","0","1",4,"3","2",0,0,0,0,1,"8"
"3132","2","7","0","1",5,"0","0",0,1,0,0,1,"-1"
"3133","8","7","0","1",5,"1","0",0,1,0,0,1,"2"
"3135","2","7","0","1",5,"2","1",0,1,0,0,1,"8"
"3138","2","8","0","1",5,"0","0",2,1,0,0,1,"-1"
"3150","2","3","0","1",6,"0","0",2,1,0,0,5,"-1"
"3151","8","3","0","1",6,"0","1",2,1,0,0,5,"2"
"3153","2","4","0","1",7,"0","0",0,0,0,0,5,"-1"
"3154","8","4","0","1",7,"0","1",0,0,0,0,5,"2"
"3159","2","6","0","1",7,"0","0",0,1,0,0,5,"-1"
"3163","8","6","0","1",7,"2","2",0,1,0,0,5,"2"
"3168","2","9","0","1",7,"0","0",1,1,1,1,4,"-1"
"3172","8","9","0","1",7,"2","2",1,0,1,1,4,"2"
"3174","2","1","0","0",7,"0","0",2,1,1,1,4,"-1"
"3177","2","1","0","1",1,"0","0",0,0,0,0,0,"-1"
"3181","8","2","0","1",1,"1","2",0,0,0,0,0,"2"
"3186","2","3","0","1",1,"0","0",0,1,0,0,0,"-1"
"3193","8","5","0","1",1,"1","0",2,0,0,1,-1,"2"
"3195","2","5","0","1",1,"1","2",2,0,0,1,-1,"8"
