"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",24,"0","1",7,"0","1",0,0,0,0,1,2.55,20,0.203,5,-1,13,9,0,0,0,0,0,0,1,1,0,0,0,0
"Slider/Cutter",11,"0","1",2,"3","2",1,1,1,0,-3,3.15,27,0.3,6,-1,6,6,0,0,0,0,0,0,1,0,0,0,0,1
"Slider/Cutter",9,"0","1",3,"2","1",0,1,1,0,2,2.92,21,0.22,6,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",4,"0","1",2,"0","2",0,0,0,0,0,2.59,32,0.214,11,-1,11,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"0","1",2,"0","0",0,1,1,0,-2,3.15,0,0,0,-1,6,6,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",9,"0","1",2,"0","1",2,0,1,0,0,7.84,0,0.25,0,-1,0,1,0,2,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"0","0",3,"2","2",2,1,0,0,-1,2.58,40,0.269,9,-1,13,8,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",23,"0","1",6,"0","0",2,0,1,0,1,3.33,4,0.31,0,1,7,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",13,"0","1",3,"1","1",2,0,0,0,-2,2.57,5,0.476,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Slider/Cutter",3,"0","1",1,"1","1",1,0,0,0,1,2.44,48,0.268,14,-1,12,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"0","0",3,"0","0",0,0,0,0,1,3.33,7,0.228,1,1,7,7,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",6,"0","1",2,"0","0",0,0,1,0,1,2.5,25,0.254,4,-1,10,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",26,"0","1",6,"1","0",1,1,1,1,-3,2.53,34,0.255,5,-1,13,8,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",27,"0","0",7,"0","1",2,1,1,0,3,3.45,3,0.333,2,1,5,6,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",9,"0","1",3,"2","2",1,1,0,0,4,3.1,1,0.2,0,1,2,4,0,0,0,0,0,0,1,0,0,0,1,0
"Slider/Cutter",25,"0","0",7,"0","1",1,0,0,0,0,3.14,36,0.227,9,-1,8,7,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"0","1",2,"0","0",0,0,0,0,1,2.5,35,0.238,10,-1,10,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",5,"1","1",0,1,0,0,-2,2.53,34,0.255,5,-1,13,8,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",16,"0","1",4,"0","0",1,0,0,0,1,2.52,30,0.203,7,-1,14,10,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",15,"0","1",4,"1","2",1,0,0,0,-1,2.58,53,0.281,5,-1,13,8,0,0,0,0,1,0,0,0,0,0,1,0
"Slider/Cutter",20,"0","1",5,"2","2",1,0,0,0,-1,2.5,27,0.257,7,-1,10,7,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",5,"0","1",1,"1","2",1,1,0,0,-2,2.17,2,0.278,0,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",4,"0","1",1,"1","1",1,0,1,0,0,2.55,34,0.227,4,-1,13,9,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",12,"0","1",3,"3","2",1,0,0,0,0,6.23,8,0.292,3,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Slider/Cutter",11,"0","1",3,"1","1",1,0,0,0,1,2.5,27,0.257,7,-1,10,7,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",23,"0","1",6,"1","1",0,0,0,0,1,2.5,35,0.238,10,-1,10,7,0,0,0,0,1,0,0,0,0,1,0,0
"Slider/Cutter",28,"0","0",7,"0","0",1,0,1,0,-6,2.52,17,0.262,0,-1,10,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"0","1",3,"1","1",1,1,0,1,-1,3.36,11,0.268,2,-1,4,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,2.57,0,0.167,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",3,"2","2",1,0,0,0,2,2.59,8,0.214,2,-1,3,4,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",21,"0","1",6,"1","0",1,1,0,0,3,2.51,4,0.273,1,-1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"0","1",1,"0","0",0,0,0,0,0,3.14,17,0.271,2,-1,8,7,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",20,"0","1",5,"1","2",0,1,0,0,-1,2.75,19,0.303,4,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"0","1",3,"0","0",0,0,0,0,1,3.52,22,0.261,7,1,6,7,0,0,1,0,0,0,0,1,0,0,0,0
