"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeKC","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeKC"
"FT",2,"0","0",1,"0","2",0,0,0,0,0,4.03,5,0.274,0,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",12,"0","1",4,"0","2",0,1,0,0,4,4.39,13,0.313,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",28,"0","0",7,"2","1",0,0,0,0,6,3.32,25,0.264,3,-1,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"CH",22,"0","1",5,"0","1",0,0,1,0,2,5.76,10,0.224,3,-1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",4,"0","1",1,"0","0",2,1,0,0,0,3.33,77,0.235,27,-1,13,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",21,"0","1",6,"0","0",2,0,0,0,-5,2.47,69,0.276,25,-1,13,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",21,"0","0",5,"1","1",2,1,0,0,-2,3.11,50,0.275,9,-1,11,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FF",1,"0","1",1,"1","0",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"0","0",1,0,0,0,-1,3.06,10,0.195,6,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",15,"0","1",4,"3","2",1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",2,"0","1",1,"0","2",0,0,0,0,0,6.14,3,0.114,1,-1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",18,"0","1",6,"0","0",0,0,0,0,0,4.88,5,0.156,2,-1,7,2,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"2","2",2,0,0,0,1,4.51,28,0.274,6,-1,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FT",18,"0","1",3,"0","0",2,1,0,0,-2,4.27,12,0.264,0,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",7,"0","1",2,"1","1",2,0,0,0,0,4.03,3,0.341,1,1,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"FF",21,"0","1",6,"0","2",0,0,0,0,-4,2.62,55,0.244,16,-1,7,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",31,"0","1",9,"0","0",0,1,0,0,4,4.39,20,0.353,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",4,"0","1",1,"0","2",2,1,0,0,0,4.52,46,0.29,16,-1,7,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",9,"0","1",7,"0","0",2,1,0,0,6,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",25,"0","0",6,"2","1",1,0,1,0,-4,4.04,9,0.179,3,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",8,"0","1",3,"1","0",0,0,0,0,3,3.81,4,0.25,0,1,5,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FC",25,"0","1",6,"3","2",0,1,1,0,-2,4.44,9,0.253,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",3,"0","0",6,"1","0",1,0,0,0,6,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"0","1",4,"0","0",0,0,0,0,-1,4.5,4,0.25,2,-1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",14,"0","1",4,"1","0",2,0,0,0,1,3.12,25,0.224,5,1,12,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"1","0",2,0,0,0,3,4.39,1,0.15,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
