"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeKC","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeKC"
"FF",30,"0","0",8,"1","0",1,0,0,0,-6,3.33,91,0.316,18,-1,13,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FF",23,"0","1",6,"2","2",0,0,1,0,-3,4.04,2,0.259,0,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",2,"0","1",1,"1","2",1,0,0,0,0,4.02,28,0.264,8,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FC",18,"0","1",6,"1","0",0,0,0,0,-1,2.42,13,0.225,4,-1,13,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FC",22,"0","1",7,"2","2",1,0,0,0,-4,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FT",20,"0","0",7,"0","0",0,0,0,0,-1,3.21,46,0.252,8,-1,11,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",18,"0","1",5,"0","2",1,0,0,0,4,2.91,3,0.192,0,-1,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FF",11,"0","1",3,"2","2",0,0,0,0,4,3.28,7,0.233,1,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",2,"0","0",1,"3","2",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FT",24,"0","0",6,"1","1",1,0,0,0,-2,3.93,31,0.221,6,1,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FT",12,"0","0",4,"0","1",0,0,0,0,3,4.26,65,0.301,23,-1,9,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",2,"0","1",1,"2","0",1,0,0,0,1,3.97,27,0.265,7,-1,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",25,"0","1",8,"0","0",0,0,0,0,-10,3.87,3,0.205,1,-1,15,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",17,"0","1",6,"3","2",0,0,0,0,-2,4.19,5,0.136,0,1,11,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",27,"0","1",7,"1","0",2,1,0,0,0,4.52,4,0.174,0,-1,7,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",27,"0","1",7,"0","2",2,1,1,0,-4,2.47,1,0.25,0,-1,13,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FT",22,"0","1",6,"0","0",1,1,0,0,1,4.52,46,0.29,16,-1,7,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",13,"0","1",4,"1","2",0,0,0,0,-1,3.36,38,0.278,9,-1,14,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",1,"0","1",1,"1","1",0,0,0,0,1,3.32,2,0.294,1,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",14,"0","1",3,"0","1",2,1,0,0,-2,4,58,0.246,20,-1,12,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",26,"0","1",7,"1","2",2,0,0,0,-1,4.53,17,0.255,6,-1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",5,"0","1",1,"0","0",2,1,1,0,3,3.11,49,0.276,8,-1,11,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",8,"0","1",2,"0","2",1,1,0,0,-3,4.64,12,0.318,1,-1,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",15,"0","1",4,"0","0",0,0,1,0,-2,2.93,16,0.308,3,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",7,"0","1",2,"1","2",1,0,0,0,-1,4.75,4,0.213,0,-1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CH",7,"0","1",2,"2","2",2,1,0,0,0,4.52,18,0.241,6,-1,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",11,"0","1",3,"0","2",1,0,0,0,-2,5.53,31,0.278,12,-1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CH",8,"0","1",2,"0","0",0,1,1,0,1,2.54,23,0.227,3,-1,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",14,"0","0",3,"0","0",0,0,0,0,-4,4.24,36,0.205,5,-1,8,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",21,"0","0",6,"2","2",0,0,1,0,1,3.63,34,0.288,4,-1,6,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",29,"0","0",8,"0","0",0,0,0,0,6,2.41,65,0.27,18,-1,11,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",26,"0","1",8,"0","1",1,0,0,0,-3,3.37,2,0.087,0,-1,14,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",32,"0","0",8,"1","0",0,1,0,0,-3,2.35,69,0.242,20,-1,11,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FC",10,"0","1",3,"1","1",1,1,0,0,2,6,12,0.263,0,-1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CH",4,"0","1",2,"1","0",0,0,0,0,-2,5.53,14,0.323,2,-1,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",7,"0","0",2,"0","0",1,0,0,0,-1,4.53,16,0.255,4,-1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",19,"0","1",6,"0","1",0,1,1,0,-3,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",23,"0","1",6,"0","1",2,0,0,1,-1,4.53,26,0.246,6,-1,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",24,"0","0",6,"0","0",2,1,1,0,2,4.75,10,0.225,3,-1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",3,"0","0",1,"0","2",2,0,0,0,0,3.06,72,0.251,24,1,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"FF",2,"0","0",1,"0","0",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",19,"0","0",5,"2","2",2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FC",29,"0","1",7,"0","0",0,0,0,0,0,2.93,13,0.323,3,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",15,"0","1",4,"0","0",1,1,1,0,0,4.04,78,0.252,24,-1,17,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",23,"0","1",6,"1","2",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"CH",21,"0","1",5,"1","1",1,0,0,0,-3,2.91,9,0.327,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FC",14,"0","0",4,"0","0",1,0,0,0,2,4.39,11,0.328,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",9,"0","1",7,"0","1",2,1,0,0,6,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",6,"0","1",2,"0","2",1,1,0,0,2,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",9,"0","1",3,"1","2",1,0,0,0,0,4.52,4,0.174,0,-1,7,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FC",9,"0","1",3,"0","0",0,1,0,0,2,6,0,0,0,-1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",28,"0","0",7,"0","2",0,1,0,0,1,4.42,7,0.315,0,-1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",29,"0","1",8,"0","1",0,0,0,0,0,4.28,9,0.275,3,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FF",4,"0","1",1,"1","0",1,1,0,0,3,3.11,13,0.286,2,-1,11,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",9,"0","1",3,"2","1",0,0,0,0,-1,2.44,18,0.221,3,-1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FC",21,"0","1",5,"0","0",1,1,0,0,2,5.11,42,0.245,10,-1,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",5,"0","1",2,"0","0",1,0,0,0,1,6.14,10,0.242,4,-1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",2,"0","0",1,"0","0",1,0,0,0,0,3.48,9,0.34,3,-1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",17,"0","1",5,"2","2",1,1,0,0,1,4.51,15,0.287,2,-1,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FC",26,"0","1",6,"2","2",2,0,1,0,-4,4.04,8,0.388,1,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",1,"0","0",1,"1","2",0,0,0,0,0,2.35,23,0.264,5,-1,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",25,"0","1",6,"1","2",1,1,0,1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",7,"0","1",2,"1","2",1,0,0,0,1,0,3,0.4,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FF",21,"0","1",6,"0","0",0,1,1,0,4,2.41,72,0.297,33,-1,11,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",28,"0","0",7,"0","0",2,0,1,0,2,4.75,12,0.309,1,-1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",17,"0","0",4,"0","2",2,1,0,0,4,3.28,2,0.132,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",9,"0","0",2,"1","2",1,1,0,0,1,3.32,50,0.296,12,-1,12,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",10,"0","0",3,"1","2",0,1,0,0,0,2.35,23,0.264,5,-1,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FF",10,"0","1",2,"0","2",1,1,0,1,-1,6.75,22,0.321,9,-1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",18,"0","1",5,"1","0",0,0,0,0,0,2.53,31,0.242,4,-1,9,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",25,"0","1",6,"1","2",1,0,0,0,1,3.32,16,0.279,2,-1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",9,"0","1",3,"2","2",1,0,0,0,0,4.52,4,0.174,0,-1,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",8,"0","1",3,"1","1",0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",4,"0","1",1,"1","0",2,1,0,0,0,2.38,11,0.273,3,-1,9,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",24,"0","1",7,"0","0",1,0,0,0,5,2.45,35,0.26,9,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",13,"0","0",3,"0","1",2,1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FT",17,"0","1",4,"0","0",0,0,0,0,3,2.31,18,0.233,5,1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",5,"0","1",1,"0","1",2,1,1,0,0,2.5,33,0.212,8,-1,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FF",14,"0","1",3,"0","1",2,1,0,1,-2,4.02,6,0.342,2,-1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",7,"0","1",2,"1","2",1,1,0,0,3,2.46,40,0.264,3,-1,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FT",21,"0","1",6,"0","2",1,0,0,0,1,4.51,65,0.314,19,-1,9,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",7,"0","1",2,"0","0",1,1,0,0,0,2.93,11,0.229,0,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",25,"0","0",6,"0","2",2,1,0,0,0,3.3,17,0.32,4,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FC",18,"0","1",5,"0","1",0,0,0,0,-3,4,10,0.242,0,-1,12,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",28,"0","0",8,"0","1",1,0,0,0,-1,4.88,23,0.269,2,-1,7,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",19,"0","1",6,"2","1",0,0,0,0,4,2.41,5,0.235,1,-1,11,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",31,"0","1",8,"1","1",2,0,0,0,6,2.41,70,0.254,33,-1,11,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",14,"0","1",4,"0","0",0,1,1,0,0,4.04,74,0.228,20,-1,17,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",19,"0","1",4,"0","0",2,1,0,0,2,3,3,0.444,1,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",16,"0","1",4,"2","2",0,1,0,1,1,4.3,46,0.227,16,-1,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CH",1,"0","1",1,"0","2",0,0,0,0,0,3.42,28,0.274,7,1,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",3,"0","0",1,"1","2",2,0,0,0,0,6,20,0.336,8,-1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"CH",18,"0","0",5,"0","0",0,0,0,0,4,3.32,50,0.296,12,-1,12,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",18,"0","1",6,"2","1",0,0,0,0,1,4.04,0,0.2,0,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",18,"0","1",5,"0","2",2,1,0,0,-1,3.06,10,0.195,6,1,10,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",9,"0","1",2,"0","0",2,0,1,0,0,3.93,20,0.204,5,1,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",18,"0","0",5,"1","0",1,0,0,0,-3,2.42,25,0.232,8,-1,16,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FC",32,"0","1",8,"2","2",2,1,0,0,-3,4.03,22,0.224,7,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",10,"0","1",3,"1","0",1,0,0,0,1,3.12,35,0.241,10,1,12,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"1","0",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FF",24,"0","1",7,"1","2",1,0,0,0,1,4.51,22,0.285,1,-1,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CH",16,"0","1",4,"0","0",1,1,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",9,"0","1",3,"0","0",2,0,0,0,1,3.48,3,0.273,0,-1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",22,"0","1",6,"0","1",1,1,0,0,7,4.29,85,0.258,34,-1,10,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FT",7,"0","1",2,"1","2",2,1,0,0,1,2.97,1,0.2,0,-1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",9,"0","1",2,"0","2",1,0,1,1,1,2.54,12,0.25,0,-1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",12,"0","1",3,"0","0",1,0,0,0,1,2.31,43,0.268,10,1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",22,"0","1",6,"0","0",1,1,0,0,0,3.06,36,0.276,12,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",20,"0","1",5,"2","1",0,0,0,0,0,3,4,0.429,3,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FT",13,"0","1",4,"1","2",1,0,0,0,0,4.04,9,0.368,1,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"FC",8,"0","1",2,"1","2",2,0,0,0,-1,4.75,13,0.304,1,-1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FT",15,"0","1",4,"3","2",0,0,1,0,1,2.31,22,0.223,5,1,9,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",18,"0","0",5,"0","1",1,1,0,0,-2,5.73,0,0.143,0,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",32,"0","1",8,"1","2",2,1,0,0,-3,4.03,22,0.224,7,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",22,"0","0",5,"1","1",2,1,0,0,7,2.43,86,0.244,25,-1,14,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FF",5,"0","0",2,"1","2",1,0,0,0,-2,5.53,13,0.271,5,-1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",18,"0","1",4,"3","2",2,0,0,0,-4,6.75,0,0.056,0,-1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FC",16,"0","0",5,"1","2",1,0,0,0,1,4.04,9,0.179,3,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CH",21,"0","1",5,"1","1",0,0,0,0,-3,4.36,37,0.244,14,-1,9,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"FT",2,"0","1",1,"1","1",1,0,0,0,0,2.44,6,0.28,2,-1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",5,"0","0",2,"1","2",0,0,0,0,0,2.38,53,0.234,19,-1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FT",4,"0","1",2,"0","2",0,0,0,0,3,4.39,20,0.353,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",11,"0","1",3,"0","0",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",21,"0","0",7,"0","1",0,0,0,0,-3,2.7,33,0.304,4,-1,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",6,"0","0",2,"1","1",2,0,0,0,1,6.14,1,0.125,0,-1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CH",3,"0","1",1,"1","0",1,1,0,0,0,3.93,36,0.246,12,1,5,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",3,"0","0",1,"0","0",1,1,0,0,0,4.03,31,0.33,2,1,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",10,"0","1",2,"0","2",2,1,1,0,2,4.27,12,0.324,2,1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FT",9,"0","1",2,"1","1",1,0,0,0,3,7.06,0,0.167,0,-1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",19,"0","0",5,"1","1",0,0,0,0,7,2.43,30,0.267,7,-1,14,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",4,"0","1",1,"0","1",2,1,0,0,0,2.7,17,0.3,3,-1,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",20,"0","1",5,"1","0",1,0,0,0,2,4.42,12,0.296,3,-1,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FF",14,"0","1",4,"1","2",1,1,0,0,-2,2.47,26,0.225,9,-1,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FC",15,"0","1",4,"0","2",2,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",10,"0","1",4,"1","2",0,0,0,0,-2,4.19,41,0.279,16,1,11,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",5,"0","1",2,"1","0",0,0,0,0,3,3.81,23,0.271,4,1,5,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",10,"0","1",2,"0","2",1,1,0,0,-4,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"FT",2,"0","0",1,"0","0",0,0,0,0,0,4.03,5,0.274,0,1,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",7,"0","0",1,"0","0",2,1,1,0,2,4.74,42,0.269,16,-1,8,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",21,"0","1",6,"2","0",2,0,0,0,-5,2.47,69,0.276,25,-1,13,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",9,"0","0",2,"0","1",2,1,0,0,1,4.42,18,0.205,0,-1,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FC",19,"0","0",5,"0","1",1,0,0,0,2,4.42,7,0.315,0,-1,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FC",4,"0","1",2,"2","2",0,0,0,0,1,4.05,4,0.32,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"FT",13,"0","1",4,"3","2",0,1,0,0,2,4.39,20,0.353,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FT",8,"0","0",3,"0","0",0,0,0,0,2,0,0,0.182,0,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",9,"0","0",1,"0","1",2,1,0,0,-5,4.28,14,0.204,0,1,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",7,"0","1",2,"0","0",2,1,0,0,1,2.97,1,0.2,0,-1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",15,"0","1",5,"0","0",0,0,0,0,2,4.63,27,0.266,6,-1,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",12,"0","1",4,"3","2",2,0,0,0,-2,4.19,76,0.291,28,1,11,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",16,"0","1",3,"0","0",2,1,0,0,-4,2.91,1,0.333,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",2,"0","0",1,"0","0",1,0,0,0,0,4.39,5,0.257,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",17,"0","1",5,"1","0",0,0,0,0,6,2.46,12,0.188,2,-1,15,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",2,"0","0",1,"0","2",1,0,0,0,0,3.21,46,0.252,8,-1,11,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",4,"0","1",2,"0","1",0,0,0,0,1,4.75,6,0.238,3,-1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",21,"0","1",5,"0","1",1,1,0,0,-2,5.34,37,0.237,9,-1,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",34,"0","1",9,"0","0",1,1,0,1,0,3.37,24,0.23,5,-1,14,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",23,"0","1",5,"0","0",2,0,1,0,3,3.81,35,0.28,5,-1,16,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",15,"0","1",4,"1","1",1,1,0,0,5,3.11,7,0.281,2,-1,11,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",23,"0","1",6,"0","0",0,0,0,0,-2,3.93,34,0.249,10,1,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",3,"0","0",1,"1","1",0,1,1,0,0,2.45,1,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",27,"0","0",7,"1","0",0,1,0,0,1,5.34,1,0.15,1,-1,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",21,"0","1",5,"0","1",1,0,0,0,-3,3.08,61,0.291,14,1,11,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",13,"0","1",4,"1","0",0,0,0,0,-4,2.93,23,0.313,4,-1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",5,"0","1",2,"0","1",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",16,"0","1",3,"2","1",0,1,1,0,4,3,42,0.232,9,-1,12,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FF",4,"0","1",2,"0","1",0,0,0,0,0,3.4,24,0.196,8,-1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",23,"0","1",5,"1","2",0,1,0,1,-2,4.3,12,0.203,5,-1,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",2,"0","1",1,"1","2",0,1,0,0,0,4.5,2,0.333,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",4,"0","1",2,"0","0",0,0,0,0,-5,3.87,99,0.251,41,-1,15,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"0","1",1,0,0,0,3,3.23,16,0.287,3,-1,9,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",23,"0","1",6,"2","2",0,0,0,0,-2,4.44,17,0.26,3,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",24,"0","1",6,"1","1",1,0,0,0,-4,6.75,5,0.204,0,-1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",7,"0","1",1,"2","2",1,1,1,1,2,0.4,7,0.241,2,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FT",25,"0","0",6,"0","0",2,1,1,0,-5,4.34,72,0.277,24,-1,9,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
