"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",5,"0","1",6,"0","0",1,0,0,1,1,2.86,39,0.298,13,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",3,"0","0",2,1,0,1,0,2.2,4,0.256,2,-1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",3,"0","2",0,0,0,0,0,2.76,39,0.248,8,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",4,"0","1",7,"0","2",0,0,0,0,0,1.98,71,0.291,7,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",4,"1","0",0,0,0,0,2,2.2,5,0.266,1,-1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",1,"0","0",2,1,0,0,-3,2.19,1,0.071,0,-1,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",4,"0","1",5,"0","2",2,1,0,0,5,5.08,24,0.294,8,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"0","0",0,1,0,0,0,2.86,4,0.213,0,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",1,"2","2",0,1,1,0,2,6.86,11,0.198,3,-1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",6,"1","2",0,0,0,0,5,5.08,18,0.293,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
