"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFA","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FT",18,"1","1",5,"2","2",2,0,0,0,0,2.23,1,0.06,0,1,17,8,15,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FT",20,"1","1",6,"0","1",2,0,0,0,4,2.63,8,0.333,2,-1,13,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FC",13,"1","0",4,"0","0",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",23,"1","1",5,"0","1",2,1,0,0,-4,1.95,7,0.225,2,-1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",20,"1","0",5,"0","0",2,0,0,0,-1,1.86,16,0.259,4,-1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",8,"1","1",2,"2","1",0,0,1,0,-3,1.95,8,0.209,4,-1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FC",5,"1","1",2,"2","2",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",9,"1","1",3,"1","2",0,0,0,0,0,2.31,8,0.263,1,-1,8,1,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",13,"1","0",3,"2","1",2,0,0,0,1,2.16,28,0.28,5,-1,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",6,"1","1",2,"0","2",1,0,0,0,0,2.73,31,0.316,5,-1,13,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FC",23,"1","0",7,"3","1",0,0,0,0,5,2.05,46,0.306,11,-1,12,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",10,"1","0",3,"1","1",1,0,1,0,3,1.99,7,0.252,2,1,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"CH",24,"1","1",7,"3","2",0,0,0,0,-1,1.86,8,0.239,2,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CH",29,"1","1",7,"1","2",1,0,0,0,2,3.02,13,0.292,6,-1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",3,"1","1",1,"1","0",2,0,0,0,0,2.92,82,0.298,20,-1,14,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",17,"1","1",6,"0","1",0,0,0,0,4,4.5,3,0.35,0,-1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FC",10,"1","0",2,"0","0",1,0,1,0,-1,1.93,2,0.278,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",28,"1","1",8,"0","0",1,0,0,0,1,2.97,6,0.231,3,-1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",10,"1","1",2,"0","0",1,1,0,0,-2,3.24,15,0.246,5,-1,9,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",14,"1","0",3,"0","2",1,0,0,0,-2,1.93,4,0.194,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"CH",13,"1","0",4,"2","0",0,0,0,0,-1,3.43,73,0.282,19,-1,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",10,"1","0",4,"0","0",0,0,0,0,3,1.97,19,0.286,1,1,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",9,"1","1",2,"1","1",0,0,1,0,-2,2.46,1,0.208,0,-1,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",10,"1","0",3,"0","1",0,0,0,0,0,1.85,5,0.387,1,-1,6,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",16,"1","1",4,"0","1",0,1,1,0,1,0,1,0.4,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FC",29,"1","1",8,"1","0",1,0,0,0,0,1.38,2,0.209,1,-1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FT",11,"1","1",4,"0","0",0,0,0,0,5,2.79,37,0.313,4,-1,6,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
