"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typePO","prev_pitch_typeSI","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typePO","prevprev_pitch_typeSI","prevprev_pitch_typeSL"
"SI",1,"1","0",1,"0","1",0,0,0,0,0,2.63,12,0.232,4,1,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",16,"1","0",5,"1","1",0,1,0,0,3,3.74,2,0.158,0,1,14,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"CU",3,"1","0",1,"1","1",1,1,0,0,0,2.39,23,0.261,6,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CU",25,"1","0",7,"0","0",0,0,0,0,2,3,1,0.333,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"1","0",5,"0","0",1,1,0,0,0,2.18,33,0.211,6,1,14,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",21,"1","0",5,"1","2",0,0,0,0,-1,3.6,2,0.368,1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FF",25,"1","0",5,"0","0",1,0,0,1,2,0.69,2,0.174,0,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",24,"1","0",7,"1","0",1,0,0,0,0,2.02,50,0.203,16,1,11,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",19,"1","0",5,"0","0",1,0,0,0,2,5.68,3,0.282,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",29,"1","1",8,"2","2",0,0,0,0,1,1.8,6,0.22,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"SI",1,"1","0",1,"1","0",0,0,0,0,0,1.88,4,0.222,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",25,"1","1",7,"2","2",1,1,0,0,0,4.09,3,0.25,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"SI",16,"1","0",3,"1","0",2,0,0,1,-1,0.69,2,0.174,0,-1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CU",4,"1","0",1,"2","1",1,1,0,0,0,0.69,8,0.219,3,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"CU",13,"1","0",3,"1","0",0,0,0,0,-1,3.05,29,0.26,5,-1,10,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",10,"1","0",3,"0","1",0,0,0,0,0,3,2,0.156,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",21,"1","1",7,"0","1",0,0,0,0,0,2.1,69,0.28,27,-1,10,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",20,"1","1",5,"3","2",0,0,0,0,-1,3.6,1,0.35,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"SI",15,"1","1",4,"0","2",1,1,0,0,5,3.66,55,0.275,15,-1,15,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,1.91,21,0.274,4,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",6,"1","1",1,"1","1",1,0,1,1,-1,3.54,48,0.265,15,-1,18,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"FF",4,"1","1",2,"0","0",0,0,0,0,0,4.09,4,0.171,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",24,"1","0",5,"2","1",0,0,0,0,-5,3.58,54,0.209,15,1,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",25,"1","1",7,"1","2",0,0,0,0,-2,3.08,9,0.226,1,1,10,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CU",22,"1","1",5,"0","2",2,0,1,0,6,3.55,62,0.278,15,-1,17,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",12,"1","0",3,"0","1",2,1,0,0,6,3.45,79,0.285,24,-1,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",5,"1","0",2,"1","1",1,0,0,0,0,1.91,2,0.132,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",13,"1","1",3,"3","2",1,0,0,0,0,3.23,35,0.316,7,-1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"SI",14,"1","1",3,"2","1",2,1,0,1,-2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SI",18,"1","0",5,"1","0",2,0,0,0,-2,1.91,6,0.196,3,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",17,"1","0",4,"1","1",1,0,0,0,1,3.39,8,0.238,3,-1,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"CU",15,"1","0",4,"2","1",0,0,0,0,1,3.55,55,0.27,14,-1,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CU",20,"1","0",5,"0","0",2,0,1,0,2,1.61,8,0.156,1,-1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",12,"1","1",2,"2","0",1,1,0,1,0,3.54,88,0.297,40,-1,18,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CH",4,"1","0",1,"3","2",2,1,0,0,0,2.29,23,0.202,6,-1,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SI",20,"1","0",6,"1","2",2,0,0,0,0,2.24,22,0.254,3,1,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SI",24,"1","0",7,"0","2",1,0,0,0,2,2.11,4,0.263,1,-1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CU",21,"1","0",5,"2","2",2,0,1,0,0,3,5,0.419,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",6,"1","0",2,"0","0",1,0,0,0,0,3.14,55,0.247,22,-1,9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",3,"1","1",1,"0","0",1,1,0,0,0,0.69,2,0.12,1,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",12,"1","0",3,"2","1",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SI",26,"1","0",5,"0","1",2,1,0,1,2,0.69,3,0.286,1,-1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",2,"1","1",1,"2","2",1,0,0,0,0,2.18,111,0.288,36,1,14,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",11,"1","0",4,"0","1",1,0,0,0,0,1.99,40,0.249,9,-1,11,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",13,"1","1",4,"0","0",0,0,0,0,0,2.18,85,0.235,36,1,14,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",17,"1","0",4,"1","2",1,0,0,0,1,3.39,8,0.238,3,-1,6,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SI",30,"1","1",8,"0","0",1,1,0,0,1,2.11,65,0.241,20,1,10,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",4,"1","1",2,"0","0",0,0,0,0,0,3.38,36,0.294,9,1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,2.29,21,0.286,6,-1,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CU",10,"1","0",3,"0","0",1,0,1,0,-1,2.3,9,0.289,0,-1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",10,"1","0",4,"0","1",0,0,0,0,1,1.88,4,0.222,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"SI",7,"1","1",2,"2","1",1,0,0,0,0,3.13,39,0.255,4,1,13,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",8,"1","1",2,"0","0",1,0,0,0,-2,3.23,35,0.277,6,-1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",3,"1","0",1,"1","2",1,0,0,1,0,2.4,13,0.22,4,-1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"SI",18,"1","1",4,"0","0",1,0,0,0,-1,0.69,0,0.143,0,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",1,"1","1",1,"1","0",0,0,0,0,0,3.55,62,0.295,21,1,6,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",23,"1","0",7,"2","0",0,0,0,0,1,2.23,77,0.244,23,-1,13,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CU",8,"1","0",3,"0","0",0,0,0,0,0,4.09,9,0.207,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",20,"1","0",5,"3","1",1,0,1,0,0,2.11,16,0.367,3,1,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FF",7,"1","0",2,"0","0",2,0,0,0,0,3.03,9,0.354,1,-1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",12,"1","0",3,"3","1",0,0,1,0,-2,3.08,45,0.289,8,1,10,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CU",23,"1","0",7,"0","0",0,0,0,0,1,2.23,77,0.244,23,-1,13,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"1","0",5,"1","0",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FF",13,"1","0",4,"1","2",2,0,0,0,0,2.19,18,0.321,4,-1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"CH",5,"1","1",2,"0","0",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",13,"1","1",3,"0","1",2,1,0,0,-2,3.49,83,0.245,35,1,17,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",4,"1","0",1,"0","1",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",1,"1","1",1,"1","2",0,0,0,0,0,2.39,24,0.199,6,1,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CU",27,"1","0",7,"0","0",2,0,1,0,-2,1.99,6,0.319,2,-1,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",13,"1","1",4,"0","0",1,0,1,0,0,1.99,80,0.252,20,-1,13,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",17,"1","1",4,"0","0",0,0,0,0,-2,2.4,10,0.231,4,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",25,"1","1",7,"0","0",0,1,1,1,9,2.73,10,0.264,4,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",7,"1","0",2,"0","1",0,0,0,0,1,3.61,7,0.231,1,-1,11,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",29,"1","0",7,"0","0",0,0,0,0,-1,3.05,16,0.316,2,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",24,"1","0",7,"0","0",1,0,0,0,0,2.63,12,0.205,2,1,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",4,"1","0",2,"0","0",0,0,0,0,0,2.19,18,0.321,4,-1,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",19,"1","0",5,"2","2",2,0,0,0,0,1.82,8,0.204,0,-1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CU",22,"1","0",5,"2","2",0,0,0,0,2,0.69,8,0.219,3,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SI",16,"1","1",5,"0","0",0,0,0,0,2,3.65,51,0.258,6,1,16,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",31,"1","0",8,"1","0",2,0,0,0,1,2.11,63,0.272,19,1,10,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CU",23,"1","0",7,"1","1",1,1,0,0,8,1.97,6,0.27,0,1,12,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SI",33,"1","1",7,"0","0",2,0,1,0,-2,3.05,36,0.256,6,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",6,"1","1",2,"0","1",0,0,1,0,2,3.6,1,0.267,1,-1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",30,"1","0",9,"2","1",0,0,1,0,0,2.39,23,0.261,6,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",6,"1","0",2,"0","1",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",5,"1","0",1,"2","0",2,1,1,0,2,3.75,46,0.249,7,-1,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CU",10,"1","0",2,"0","2",2,0,0,0,-4,2.69,26,0.296,3,1,12,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"CU",26,"1","0",5,"1","2",2,1,0,1,2,0.69,3,0.286,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CU",26,"1","1",6,"1","2",1,1,1,0,0,3.61,32,0.26,8,-1,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CU",18,"1","1",4,"2","2",2,0,1,0,0,3.55,10,0.202,5,-1,17,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"CU",22,"1","1",6,"0","0",2,0,0,0,1,3.24,47,0.27,23,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",12,"1","1",4,"2","2",0,0,0,0,1,2.07,93,0.269,33,-1,14,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CH",12,"1","0",3,"0","1",2,0,0,0,0,1.29,4,0.292,1,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",26,"1","1",7,"1","0",1,0,1,0,0,2.12,52,0.271,10,1,14,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"SI",21,"1","1",7,"1","1",0,0,0,0,2,2.75,31,0.262,14,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"CU",29,"1","0",7,"0","0",0,0,0,0,-3,2.86,42,0.298,9,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",13,"1","0",4,"1","0",1,0,0,0,1,2.07,38,0.321,6,-1,14,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",16,"1","1",4,"0","0",0,0,0,0,-5,2.69,37,0.296,6,1,12,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",1,"1","0",1,"0","0",0,0,0,0,0,2.22,15,0.326,1,1,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",5,"1","1",1,"2","1",2,0,1,1,0,3.58,62,0.247,26,1,11,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",8,"1","1",3,"3","2",0,0,0,0,0,2.23,49,0.275,10,-1,13,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CH",14,"1","0",5,"1","1",0,1,0,0,0,1.99,41,0.312,9,-1,11,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"FF",5,"1","0",1,"0","1",2,1,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"FF",6,"1","0",2,"2","2",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SI",20,"1","1",6,"3","0",2,0,0,0,2,2.75,35,0.28,10,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",18,"1","1",4,"0","1",0,0,0,0,-6,3.14,18,0.185,8,-1,9,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",7,"1","1",3,"0","0",0,0,0,0,0,11.57,7,0.355,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",23,"1","0",5,"2","1",1,0,1,0,-1,2.4,5,0.13,2,-1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"SI",1,"1","1",1,"0","0",0,0,0,0,0,1.91,6,0.28,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",24,"1","0",5,"1","0",2,0,0,0,4,3.02,31,0.288,8,-1,12,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"1","1",2,"0","1",2,0,1,0,-1,3.13,9,0.197,0,1,13,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FF",17,"1","0",5,"0","0",1,1,0,0,4,2.47,8,0.255,1,-1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",14,"1","0",4,"0","0",2,1,0,0,0,4.09,8,0.25,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",4,"1","0",1,"2","0",2,1,1,0,0,2.84,62,0.242,22,-1,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SI",11,"1","0",3,"0","0",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",16,"1","1",5,"2","2",2,0,0,0,0,2.19,7,0.4,1,-1,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",30,"1","1",8,"0","0",0,1,0,0,-1,2.27,25,0.306,8,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"1","0",4,"2","1",1,0,0,0,-1,0.69,5,0.225,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"CU",24,"1","0",8,"2","2",0,0,0,0,0,2.19,0,0.091,0,-1,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,2.23,27,0.255,3,-1,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",30,"1","0",9,"0","0",0,1,0,0,0,2.39,23,0.261,6,1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",6,"1","0",2,"1","1",1,0,0,0,0,2.24,38,0.247,5,1,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CU",28,"1","0",8,"1","0",1,0,0,0,5,3.66,32,0.295,3,-1,15,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",6,"1","1",2,"1","2",0,0,1,0,2,3.6,1,0.267,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CH",25,"1","1",6,"1","2",2,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",6,"1","0",2,"0","0",0,0,1,0,0,3.34,37,0.214,11,1,7,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",20,"1","1",5,"1","1",1,1,0,1,0,3,4,0.174,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FF",11,"1","1",3,"0","2",1,1,0,0,6,3.45,68,0.289,26,-1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",27,"1","0",7,"2","2",2,0,1,0,-2,1.99,6,0.319,2,-1,11,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CU",24,"1","1",6,"0","0",2,0,0,0,1,3,6,0.238,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",25,"1","1",7,"1","0",1,0,0,0,0,3.55,0,0.267,0,1,6,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",10,"1","1",2,"2","2",2,1,0,0,-1,1.95,64,0.285,11,-1,13,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CU",19,"1","0",6,"1","0",1,0,0,0,1,2.12,25,0.29,10,-1,11,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CU",17,"1","0",5,"1","0",2,0,0,0,0,2.1,25,0.229,5,-1,10,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,2.63,12,0.232,4,1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SI",5,"1","0",2,"0","0",0,0,0,0,-1,3.71,56,0.253,7,1,11,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",21,"1","0",6,"3","2",0,0,0,0,2,1.61,10,0.35,1,-1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"FF",24,"1","0",6,"2","1",1,0,0,0,0,2.04,7,0.259,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CU",30,"1","0",9,"0","1",0,0,0,0,2,2.37,5,0.291,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",19,"1","0",5,"0","1",2,0,0,0,5,2.22,15,0.326,1,1,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",15,"1","1",4,"1","0",2,0,0,0,4,2.47,16,0.273,7,-1,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",9,"1","0",3,"0","1",1,0,0,0,1,2.47,0,0,0,-1,3,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",22,"1","0",6,"3","1",1,0,0,0,0,1.5,1,0.294,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",12,"1","1",4,"2","2",0,0,0,0,0,1.82,10,0.212,4,-1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"SI",3,"1","0",1,"0","0",2,0,0,0,0,1.99,65,0.316,15,-1,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",7,"1","1",2,"0","1",1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",18,"1","1",5,"1","2",2,0,0,0,0,3.55,6,0.205,1,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",11,"1","0",3,"1","0",2,1,0,0,0,3.34,39,0.266,10,1,7,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",15,"1","1",3,"2","1",1,0,0,1,-1,0.69,9,0.273,2,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"FF",13,"1","1",3,"0","1",0,1,1,0,-1,2.4,4,0.182,0,-1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SI",24,"1","1",6,"0","0",0,0,1,0,3,3.23,23,0.257,0,-1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",9,"1","1",3,"1","0",0,0,0,0,-1,3.55,10,0.202,5,-1,17,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",4,"1","0",1,"0","1",1,1,0,0,-1,2.07,38,0.321,6,-1,14,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",9,"1","1",3,"2","2",1,0,0,0,2,2.11,3,0.174,1,-1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SI",24,"1","1",7,"2","0",0,0,0,0,0,3.55,46,0.237,13,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CH",3,"1","0",1,"1","0",2,0,0,0,0,2.14,5,0.151,1,-1,14,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"3","2",0,0,0,0,0,1.99,19,0.26,2,-1,13,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"CU",4,"1","0",1,"0","0",2,0,1,0,0,2.57,30,0.285,3,-1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",29,"1","1",8,"0","0",0,0,0,0,1,1.8,6,0.22,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",21,"1","0",5,"1","1",1,0,0,0,1,3.13,66,0.324,17,1,13,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CU",17,"1","1",5,"2","2",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"SI",8,"1","0",3,"0","0",0,0,0,0,0,3.24,5,0.254,0,-1,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",25,"1","1",7,"1","2",1,0,0,0,2,3.34,13,0.25,4,1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",23,"1","1",5,"0","2",1,1,1,1,4,3.45,61,0.241,12,-1,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FF",20,"1","1",5,"1","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",25,"1","0",7,"1","0",0,0,0,0,2,3,1,0.333,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CU",14,"1","1",4,"1","1",1,0,0,0,2,2.11,5,0.45,1,-1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CU",14,"1","1",4,"0","0",2,0,1,0,0,1.99,44,0.235,7,-1,13,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",10,"1","1",3,"0","1",2,0,0,0,0,2.39,24,0.199,6,1,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CU",16,"1","0",5,"1","2",0,1,0,0,3,3.74,2,0.158,0,1,14,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"CH",8,"1","1",3,"2","2",1,0,0,0,0,1.97,13,0.241,3,1,12,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"SI",17,"1","0",5,"3","0",2,0,1,0,2,2.75,14,0.29,3,1,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SI",11,"1","0",4,"0","0",1,0,0,0,0,1.99,40,0.249,9,-1,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",1,"1","1",1,"1","0",0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
