"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typePO","prev_pitch_typeSI","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typePO","prevprev_pitch_typeSI","prevprev_pitch_typeSL"
"SI",8,"1","0",3,"1","1",0,0,0,0,2,3.26,14,0.213,4,-1,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CH",28,"1","0",8,"2","1",1,0,0,0,3,3,2,0.333,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",8,"1","1",2,"3","2",0,1,0,0,0,2.27,7,0.227,2,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CH",18,"1","0",5,"0","2",1,0,0,0,3,2.01,8,0.21,3,1,11,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"CU",9,"1","1",3,"0","0",1,0,0,0,0,1.82,1,0.098,0,-1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",30,"1","0",8,"0","1",1,1,0,0,2,3.38,16,0.274,0,1,9,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",7,"1","1",2,"1","0",2,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"1","0",6,"1","1",0,0,0,0,-1,2.23,27,0.255,3,-1,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",11,"1","1",3,"0","1",1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SI",8,"1","0",2,"0","0",1,0,0,0,2,3.75,7,0.22,0,-1,10,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",30,"1","0",9,"1","0",0,1,0,0,0,2.39,23,0.261,6,1,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",22,"1","0",6,"1","1",1,1,0,0,6,2.22,45,0.252,17,1,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CU",9,"1","0",3,"0","0",1,0,0,0,0,1,0,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",3,"1","0",1,"3","1",1,0,0,0,0,2.24,53,0.321,12,1,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CH",19,"1","0",5,"1","1",2,0,0,0,3,2.01,18,0.279,2,1,11,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"SI",24,"1","0",7,"0","1",0,0,0,0,0,2.12,45,0.247,6,1,14,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",6,"1","0",2,"0","0",0,1,0,0,0,1.73,11,0.289,2,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",18,"1","1",5,"1","1",1,0,0,0,2,1.61,3,0.132,1,-1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",8,"1","0",2,"1","2",1,0,0,0,-1,2.22,1,0.158,0,1,8,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"FF",24,"1","0",7,"2","2",0,0,0,0,2,3.65,47,0.272,12,1,16,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CH",20,"1","1",5,"2","2",0,0,0,0,-1,3.6,1,0.35,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CH",13,"1","0",4,"2","0",1,1,0,0,0,1.82,14,0.309,3,-1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",14,"1","0",4,"0","1",0,0,0,0,0,2.27,4,0.237,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CU",12,"1","1",3,"2","2",1,1,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
