"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"ChangeUp",5,"1","0",2,"1","0",0,0,0,0,2,6.1,8,0.234,4,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",3,"1","1",1,"2","2",1,1,0,0,0,5.61,16,0.248,6,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",4,"1","1",1,"0","0",1,0,0,0,-2,10.38,7,0.317,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","0",3,"2","1",1,0,0,1,-1,2.02,9,0.23,1,-1,6,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",8,"1","0",2,"2","0",1,1,0,0,0,5.61,6,0.191,1,-1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",16,"1","1",4,"1","0",1,0,0,0,1,3.76,10,0.207,2,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"1","0",3,"2","2",1,0,0,0,0,5.61,17,0.327,6,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","1",2,"0","0",1,0,1,0,0,3.76,10,0.207,2,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","0",3,"0","0",0,0,1,0,0,2.02,12,0.206,1,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",2,"0","0",2,0,0,0,-1,1.78,50,0.278,7,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","0",2,0,0,0,0,6,3,0.25,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",21,"1","1",6,"1","1",0,0,0,0,-1,1.78,68,0.263,13,-1,5,1,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",20,"1","0",5,"0","0",0,1,0,0,-2,0,4,0.273,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",15,"1","1",5,"2","2",0,1,0,0,-1,2.02,22,0.271,4,-1,6,1,0,0,0,0,1,0,0,0,0,0,1,0
"ChangeUp",20,"1","1",6,"1","2",1,0,0,0,2,1.83,59,0.289,18,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",18,"1","1",4,"2","1",2,0,0,0,-3,0,2,0.524,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",5,"1","0",2,"1","2",0,0,0,0,-1,2.38,1,0.174,0,1,6,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",10,"1","1",3,"2","2",1,0,0,0,1,1.83,59,0.289,18,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",20,"1","1",6,"0","0",0,0,0,0,3,2.05,21,0.285,3,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","1",2,"1","2",2,0,0,0,0,2.28,37,0.283,7,1,7,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",15,"1","1",3,"0","2",2,1,0,0,-3,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",7,"1","1",3,"0","0",0,0,0,0,0,2.02,4,0.275,0,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"1","0",4,"0","2",1,0,1,0,1,3.96,29,0.218,9,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0
"ChangeUp",28,"1","0",7,"2","2",2,0,0,0,2,2.05,56,0.291,14,-1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",21,"1","1",7,"2","0",0,0,0,0,3,5.15,22,0.259,1,-1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",14,"1","0",4,"2","2",1,1,0,1,1,2.05,38,0.244,11,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",4,"1","0",1,"1","2",0,1,1,0,-1,0,15,0.256,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",19,"1","0",5,"0","0",0,0,0,0,2,0,4,0.143,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",3,"0","0",1,0,0,0,2,5.15,0,0.091,0,-1,0,1,2,2,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","0",2,"1","0",1,1,0,0,0,1.91,0,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",26,"1","1",6,"0","0",1,0,0,0,-2,3.76,20,0.3,2,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"1","1",6,"0","1",0,1,0,0,0,10.38,7,0.333,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",2,"1","1",1,"0","0",1,0,0,0,0,4.14,14,0.247,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"2","1",2,0,0,0,0,6,3,0.25,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",10,"1","1",3,"2","2",1,0,0,0,1,6.1,3,0.196,2,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",24,"1","0",7,"1","0",0,0,0,0,1,2.38,2,0.175,0,1,6,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",13,"1","0",3,"2","2",2,1,0,0,1,3.76,10,0.353,5,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","1",1,"0","1",0,0,0,0,0,5.61,9,0.236,1,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",17,"1","1",5,"3","2",0,0,0,0,0,6,3,0.206,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","1",2,"1","1",1,0,0,0,0,1.51,30,0.23,10,-1,4,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"1","0",3,"0","0",2,0,0,0,-2,10.38,4,0.333,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"1","1",5,"3","1",0,0,0,0,2,1.83,59,0.253,19,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",24,"1","1",7,"0","1",0,1,0,0,0,1.51,30,0.23,10,-1,4,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",17,"1","1",5,"0","2",1,0,0,0,6,2.33,10,0.197,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",2,"2","2",0,0,1,1,-2,1.48,0,0,0,1,5,1,11,7,0,0,0,1,0,0,0,0,1,0
"ChangeUp",16,"1","0",4,"1","1",2,0,0,0,-1,1.78,15,0.233,2,-1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",27,"1","1",8,"1","0",2,0,0,0,3,5.15,9,0.211,2,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",1,"1","0",1,"0","1",0,0,0,0,0,2.28,58,0.269,8,1,7,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",26,"1","1",7,"0","0",2,0,0,0,6,2.33,10,0.197,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"1","0",4,"0","1",2,0,0,0,-1,1.78,15,0.233,2,-1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",11,"1","0",3,"1","2",1,0,0,0,0,5.23,16,0.347,4,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",22,"1","0",6,"1","0",0,1,0,0,1,6,1,0.273,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",15,"1","1",4,"1","0",2,0,0,0,2,6.1,2,0.2,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","1",2,"0","1",1,0,0,0,0,5.61,12,0.274,2,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",18,"1","1",5,"0","0",0,0,1,0,3,5.23,3,0.318,0,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",1,"1","0",1,"1","2",0,0,0,0,0,2.05,56,0.291,14,-1,2,1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",29,"1","1",9,"2","1",1,0,0,0,3,5.15,25,0.291,3,-1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"1","1",2,"1","0",2,1,0,0,0,1.83,41,0.205,20,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"1","1",4,"0","2",0,0,0,0,1,2.38,0,0.25,0,1,6,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",20,"1","1",6,"2","2",0,0,1,0,-2,2.02,96,0.287,32,-1,6,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"1","1",6,"2","2",0,0,0,0,2,0,2,0.636,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",16,"1","1",4,"0","1",2,1,0,0,2,6,15,0.239,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",3,"1","1",1,"1","1",2,0,0,0,0,6,3,0.25,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",10,"1","0",2,"1","2",1,0,0,1,-3,0,0,0.15,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",13,"1","0",4,"0","0",1,0,0,0,2,2.28,68,0.288,15,1,7,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"1","1",5,"0","0",0,0,0,0,2,1.83,59,0.253,19,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","1",2,"0","1",2,1,0,0,0,2.33,10,0.197,0,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",21,"1","0",6,"0","1",1,0,0,0,0,1.51,51,0.298,9,-1,4,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",13,"1","0",4,"0","0",2,0,0,0,-1,2.02,31,0.324,4,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",25,"1","0",6,"2","0",2,1,1,0,-1,1.78,15,0.233,2,-1,5,1,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",20,"1","0",5,"1","0",2,0,0,1,-1,1.78,33,0.248,9,-1,5,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",13,"1","1",3,"1","1",2,0,0,0,-1,3.99,0,0.273,0,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",24,"1","1",7,"1","2",0,1,0,0,0,1.51,30,0.23,10,-1,4,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",7,"1","0",2,"0","1",1,0,1,0,-1,2.77,6,0.205,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
