"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typePO","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FF",22,"1","1",6,"0","1",2,1,0,0,1,3.33,68,0.307,22,1,6,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"SL",14,"1","1",4,"0","0",2,1,0,0,0,4.33,14,0.245,5,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",2,"1","1",1,"0","1",1,0,0,0,0,4.38,119,0.305,38,1,10,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FT",16,"1","1",4,"0","0",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",14,"1","0",5,"1","2",0,0,0,0,0,2.96,18,0.333,2,1,3,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"FF",9,"1","1",3,"1","0",0,0,0,0,7,2.57,9,0.242,2,-1,8,6,7,7,0,0,0,1,0,0,0,1,0,0,0,0,0
"SL",26,"1","0",6,"2","2",1,1,1,0,1,0,0,0.192,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",2,"1","0",1,"3","2",0,1,0,0,2,4.49,39,0.289,10,-1,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"FF",8,"1","1",3,"2","2",0,0,0,0,0,5.07,12,0.174,2,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",24,"1","0",6,"1","1",0,1,0,0,-2,4.53,36,0.282,14,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",26,"1","1",7,"3","2",2,0,0,0,2,2.41,0,0,0,-1,6,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",14,"1","1",4,"0","2",0,1,0,0,-1,2.31,14,0.253,2,-1,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",19,"1","0",5,"0","0",2,0,0,0,-2,2.71,26,0.294,2,-1,10,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",23,"1","0",6,"1","1",0,0,0,0,-2,4.53,33,0.286,10,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",5,"1","0",2,"0","2",0,0,0,0,0,4.32,38,0.274,9,1,8,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FT",7,"1","0",2,"1","1",1,0,0,0,3,2.57,9,0.223,1,-1,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",14,"1","1",4,"0","0",0,0,0,0,0,4.87,36,0.271,6,1,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",15,"1","0",4,"1","0",0,0,0,0,1,4.38,39,0.239,5,1,10,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"SL",2,"1","1",1,"0","1",0,1,0,0,0,4.57,49,0.312,12,1,7,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FT",11,"1","1",3,"0","0",0,0,1,0,8,4.64,5,0.253,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",19,"1","1",5,"2","2",1,0,0,0,4,2.2,21,0.291,9,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"SL",10,"1","0",2,"0","2",2,0,0,0,-2,3.71,4,0.196,0,-1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FF",16,"1","0",4,"0","2",2,0,0,1,-1,2.64,22,0.21,5,1,9,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"FF",17,"1","1",5,"0","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",24,"1","1",6,"1","1",1,0,0,0,2,2.64,16,0.261,4,1,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"FF",5,"1","1",2,"1","2",0,1,0,0,1,3.33,87,0.247,31,1,6,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"SL",8,"1","1",2,"0","2",1,0,0,0,0,4.44,8,0.183,2,-1,8,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",12,"1","0",4,"2","0",1,0,0,0,-1,2.41,32,0.303,5,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"SL",13,"1","1",3,"0","1",2,0,0,0,-1,1.93,15,0.3,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"SL",13,"1","0",4,"1","2",1,1,1,0,2,2.34,38,0.234,12,1,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"SL",6,"1","1",2,"0","1",2,1,0,0,2,0,2,0.25,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FT",3,"1","0",1,"2","1",0,1,0,0,0,4.29,47,0.278,13,1,9,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"FF",18,"1","0",5,"0","0",1,1,1,1,2,4.16,10,0.216,1,1,10,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",16,"1","1",3,"0","0",0,1,0,0,-4,2.29,19,0.241,2,-1,8,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",26,"1","1",7,"2","2",0,0,0,0,4,4.71,10,0.226,2,-1,6,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",9,"1","1",3,"2","1",0,0,0,0,0,1.8,1,0.231,0,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",25,"1","1",7,"0","0",2,1,0,0,1,4.87,26,0.233,8,1,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",7,"1","1",2,"0","1",2,1,1,0,0,2.77,8,0.257,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FF",25,"1","1",7,"0","2",2,1,0,0,3,4.32,41,0.304,9,1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FT",20,"1","0",6,"0","1",0,0,0,0,0,4.87,17,0.265,5,1,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",5,"1","0",1,"2","1",1,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"SL",10,"1","0",2,"0","0",2,0,0,0,-3,1.89,40,0.296,11,-1,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",6,"1","0",2,"2","1",0,0,0,0,-1,1.93,5,0.283,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",7,"1","1",2,"2","2",1,1,1,0,0,4.38,47,0.261,10,1,10,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",7,"1","1",2,"3","2",2,0,0,0,0,1.5,4,0.4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"SL",20,"1","0",4,"0","2",0,0,0,0,-3,4.49,39,0.289,10,-1,6,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"SL",7,"1","1",2,"0","0",2,0,0,0,-1,4.62,50,0.234,17,-1,9,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",18,"1","1",5,"0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",16,"1","1",4,"0","1",0,0,0,0,-4,1.89,2,0.281,0,-1,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SL",22,"1","1",6,"1","2",1,1,0,0,4,4.67,17,0.225,8,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",4,"1","0",1,"3","1",2,1,0,0,0,3.82,25,0.284,10,-1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FF",9,"1","1",2,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"FF",7,"1","1",2,"2","2",1,0,0,0,1,4.56,38,0.247,5,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"FT",6,"1","0",2,"0","0",1,0,0,1,0,4.51,24,0.246,7,-1,9,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",27,"1","1",7,"0","0",1,0,0,0,8,2.57,25,0.216,9,-1,8,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",14,"1","1",2,"1","1",2,1,0,0,-2,1.71,24,0.256,8,-1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",1,"1","0",1,"0","0",0,0,0,0,0,3.82,7,0.286,2,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",19,"1","0",6,"2","1",0,1,0,0,1,2.92,26,0.287,2,1,10,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"SL",15,"1","1",4,"1","2",1,1,0,0,-1,2.31,45,0.237,14,-1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FT",20,"1","0",5,"0","0",1,0,0,1,-1,4.2,41,0.292,7,-1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",8,"1","0",3,"0","1",0,0,0,0,-1,2.41,7,0.245,1,1,6,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FF",12,"1","1",4,"1","1",1,0,0,0,0,2.96,71,0.289,23,1,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",6,"1","1",2,"0","2",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",26,"1","0",6,"0","0",1,1,0,0,0,4.38,14,0.207,2,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FF",27,"1","1",8,"1","0",0,0,0,0,3,4.32,0,0.174,0,1,8,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
