"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",3,"1","1",1,"2","2",0,0,1,0,-1,6.06,21,0.267,1,-1,2,4,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"1","0",6,"1","0",1,0,0,0,-1,3.43,31,0.257,1,1,11,10,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",2,"1","1",5,"0","0",2,1,1,0,3,6.55,35,0.288,5,1,3,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",3,"0","0",0,0,0,0,-1,6,0,0.2,0,1,1,2,1,2,1,0,0,0,0,1,0,0,0,0
"CurveBall",1,"1","0",3,"0","0",0,0,0,0,0,3.06,6,0.333,0,1,6,5,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",3,"1","0",3,"0","1",0,0,0,0,-1,5.06,3,0.185,2,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"CurveBall",5,"1","1",4,"1","2",0,1,0,0,0,3.42,21,0.265,3,-1,3,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","1",3,"1","2",1,0,0,0,0,3.38,4,0.22,0,-1,3,3,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",5,"1","1",6,"1","2",2,0,1,1,0,2.99,25,0.288,5,-1,6,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",6,"1","0",5,"0","2",1,0,0,0,2,3.34,44,0.223,11,-1,12,11,0,0,0,0,0,1,0,0,1,0,0,0
