"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"CurveBall",19,"0","0",6,"0","0",1,0,0,0,0,2.66,30,0.254,5,1,5,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",24,"0","1",6,"2","2",2,0,0,0,-1,2.8,2,0.197,0,1,4,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",16,"0","1",4,"2","0",1,0,0,0,-1,2.19,0,0.235,0,-1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",12,"0","0",7,"3","2",0,0,0,0,-5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",23,"0","1",6,"0","0",0,0,0,0,-1,4.19,25,0.273,7,1,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",15,"0","1",4,"0","1",0,1,0,1,-3,4.11,51,0.251,8,1,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",21,"0","1",6,"1","2",1,0,1,1,-1,4.24,26,0.293,8,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",10,"0","1",0,0,0,0,0,0,10,0.247,2,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",2,"0","0",0,0,0,0,0,3.26,14,0.189,3,-1,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",22,"0","1",5,"2","0",1,0,0,0,0,5.67,28,0.25,11,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",7,"0","0",2,"1","2",2,0,0,0,2,2.69,9,0.263,4,-1,4,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",24,"0","1",7,"1","0",0,0,0,0,8,4.15,17,0.31,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",18,"0","1",5,"0","0",0,0,0,0,-1,2.19,16,0.245,5,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",17,"0","1",5,"1","1",2,0,0,0,0,4.24,14,0.229,6,1,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",16,"0","0",5,"3","2",1,0,0,0,0,3.57,1,0.286,1,-1,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CurveBall",21,"0","0",6,"1","0",0,0,1,0,4,9,1,0.3,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",21,"0","1",5,"1","2",2,0,0,0,1,4.18,66,0.285,24,1,6,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",4,"0","0",5,"0","0",2,1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",26,"0","0",7,"1","0",0,0,0,0,-1,2.76,26,0.225,1,-1,5,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"2","0",1,0,0,0,0,5.44,31,0.292,7,-1,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",23,"0","0",6,"3","0",1,1,1,0,1,2.6,57,0.32,17,-1,8,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",1,"0","0",2,1,0,1,0,6.35,2,0.222,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"0","1",4,"0","0",1,1,0,0,3,4.28,47,0.297,5,-1,4,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",3,"0","2",0,0,0,0,0,5.44,11,0.238,4,-1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",8,"0","1",2,"0","0",0,1,1,0,0,4.55,0,0,0,-1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",10,"0","0",3,"2","1",2,0,0,0,3,3.05,23,0.283,4,1,3,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",1,"0","1",1,"0","2",0,0,0,0,1,1.42,22,0.309,2,-1,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",25,"0","0",7,"0","0",0,0,0,0,2,9,0,0.214,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",20,"0","1",5,"1","0",2,1,0,0,-1,2.86,49,0.305,11,1,5,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",1,"2","2",1,1,1,1,0,4.03,53,0.259,19,-1,6,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",8,"0","1",2,"1","2",1,0,0,0,0,9,1,0.2,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
