"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"ChangeUp",15,"0","1",4,"1","2",2,1,1,0,-1,2.87,39,0.256,12,1,6,4,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",21,"0","1",6,"3","1",1,0,0,0,0,5.93,12,0.26,3,-1,2,1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",28,"0","1",7,"0","0",0,0,0,0,1,2.27,23,0.258,6,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",12,"0","1",3,"0","1",2,0,0,0,-1,2.01,75,0.284,23,1,10,2,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",2,"0","1",1,"0","0",0,0,0,0,-1,2.03,73,0.28,15,1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","1",7,"1","1",0,1,0,0,0,2.66,1,0.231,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0
"Slider/Cutter",6,"0","1",2,"0","0",1,0,1,0,1,2.12,8,0.286,2,-1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",26,"0","1",7,"1","2",2,1,1,0,0,2.66,0,0.125,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",25,"0","0",6,"2","1",1,0,0,1,-3,2.01,58,0.195,21,1,10,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",20,"0","1",6,"0","2",0,1,0,0,2,2.14,52,0.289,15,-1,10,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",19,"0","1",5,"0","2",2,1,0,0,4,2.03,18,0.323,3,-1,9,1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",6,"0","1",2,"0","0",2,0,0,0,0,2.87,39,0.256,12,1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",23,"0","1",6,"1","2",0,0,0,0,3,2.03,58,0.312,17,1,10,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",19,"0","0",6,"2","0",2,1,0,0,1,3.01,32,0.241,8,1,6,3,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",21,"0","1",7,"0","0",0,0,0,0,1,2.09,93,0.257,26,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",3,"1","2",1,0,1,0,1,0,2,0.19,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"0","1",3,"0","1",0,1,1,0,-2,1.99,47,0.295,4,-1,12,3,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",18,"0","1",5,"0","1",1,0,0,0,0,5.93,6,0.235,1,-1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",14,"0","1",4,"0","0",2,0,0,0,0,2.09,52,0.277,10,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","1",5,"0","0",0,0,0,0,10,1.5,2,0.484,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
