"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeEP","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeEP","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FF",13,"1","0",3,"0","0",1,0,0,0,-3,2.73,41,0.325,11,-1,11,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",14,"1","0",4,"1","1",0,1,0,0,1,1.58,3,0.219,1,1,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",3,"1","0",1,"0","0",2,0,0,0,0,2.5,17,0.327,7,-1,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",17,"1","1",4,"1","1",2,0,0,1,-3,2.66,9,0.282,3,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",17,"1","1",5,"0","0",2,0,0,0,1,1.61,9,0.262,5,1,14,3,16,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",11,"1","1",3,"3","0",0,0,0,0,-2,2.04,21,0.291,4,-1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",22,"1","0",5,"0","0",2,0,0,1,-3,2.57,40,0.291,9,-1,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",18,"1","1",5,"1","1",1,0,0,0,1,0.69,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",1,"1","1",1,"0","0",0,0,0,0,0,2.66,24,0.241,3,-1,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",22,"1","1",6,"2","0",0,0,0,0,1,1.83,8,0.288,3,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CH",3,"1","0",1,"1","1",1,1,0,0,0,1.35,6,0.357,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",11,"1","1",3,"0","0",2,1,1,0,-1,1.3,18,0.261,2,-1,9,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",19,"1","1",6,"0","1",0,0,0,0,4,1.37,37,0.267,3,1,9,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",4,"1","1",1,"2","2",1,1,0,0,0,1.58,34,0.237,10,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",4,"1","0",2,"1","1",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",5,"1","1",2,"2","2",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SL",18,"1","1",4,"0","2",2,1,1,0,-1,4.42,1,0.143,0,-1,12,7,8,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",9,"1","1",3,"2","1",1,0,0,0,0,5.26,0,0,0,-1,3,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"SL",7,"1","1",2,"1","1",2,1,0,0,0,1.56,6,0.213,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",13,"1","0",4,"2","1",0,1,0,0,0,3.62,24,0.29,6,-1,10,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"SL",11,"1","1",3,"3","1",1,0,0,0,-1,0,11,0.25,3,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",2,"1","0",1,"0","0",0,0,0,0,0,3.84,35,0.28,14,-1,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",4,"1","0",2,"0","0",0,0,0,0,0,2.79,34,0.21,11,-1,13,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",8,"1","1",2,"0","2",2,1,0,0,0,1.59,2,0.175,0,1,12,2,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",1,"1","0",1,"1","2",0,0,0,0,0,2.72,21,0.266,3,1,13,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SL",11,"1","1",3,"0","0",0,0,0,0,-2,2.04,21,0.291,4,-1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",8,"1","1",2,"0","2",2,0,0,0,-2,2.71,26,0.238,4,-1,12,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",24,"1","1",7,"0","0",0,0,0,0,2,6.75,8,0.196,2,-1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",5,"1","0",2,"0","1",0,0,0,0,0,1.59,64,0.242,18,1,12,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"SL",16,"1","0",4,"0","2",0,0,0,0,-1,3.84,20,0.191,5,-1,8,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",28,"1","1",8,"2","1",0,0,0,0,6,5.08,4,0.529,0,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",10,"1","0",3,"1","1",0,0,0,0,0,1.59,69,0.267,21,-1,15,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",13,"1","0",3,"2","2",1,1,0,1,-1,4.29,76,0.278,12,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",24,"1","0",7,"1","1",1,0,0,0,-2,1.58,44,0.231,17,-1,13,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",12,"1","0",4,"0","2",0,0,0,0,1,3.6,4,0.174,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",4,"1","0",1,"0","0",2,1,0,0,0,2.31,3,0.276,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",21,"1","1",5,"2","2",2,1,0,0,2,1.65,45,0.232,9,1,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"SL",9,"1","1",2,"0","2",2,0,0,0,-2,2.66,32,0.286,6,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",25,"1","0",7,"0","1",2,0,1,0,2,1.7,11,0.271,1,-1,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",9,"1","1",3,"0","1",0,1,0,0,-5,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",16,"1","0",4,"0","0",2,0,0,0,-1,2.62,5,0.167,0,-1,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",21,"1","0",6,"1","2",1,1,0,0,0,2.74,59,0.285,15,1,12,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",24,"1","0",7,"0","2",0,0,0,0,1,2.42,10,0.268,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",16,"1","1",5,"1","0",1,0,1,0,-6,4.59,10,0.188,5,-1,5,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"SL",3,"1","1",1,"2","2",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",2,"1","1",1,"0","1",1,0,0,0,0,9.9,3,0.211,2,-1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FT",23,"1","1",6,"2","0",0,1,1,0,3,2.65,16,0.304,4,1,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SL",23,"1","1",6,"2","0",0,0,0,0,-3,2.57,26,0.283,8,-1,9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",7,"1","1",2,"0","0",0,0,0,0,0,1.58,15,0.222,2,1,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",10,"1","0",4,"3","1",0,0,0,0,0,1.7,17,0.355,0,-1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",28,"1","0",6,"1","2",2,0,0,0,3,5.15,16,0.246,1,-1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",21,"1","1",5,"2","0",2,1,0,0,2,1.65,45,0.232,9,1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",6,"1","1",2,"0","0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",4,"1","0",1,"0","0",2,0,0,1,0,2.57,40,0.291,9,-1,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",7,"1","1",3,"0","0",0,0,0,0,1,1.68,10,0.155,2,1,18,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",6,"1","1",1,"1","1",2,1,0,0,-2,2.66,31,0.269,6,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",12,"1","1",3,"2","1",0,0,0,0,2,1.41,45,0.282,12,-1,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",17,"1","1",5,"3","1",0,1,0,1,-2,2.5,4,0.242,1,-1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CH",19,"1","0",4,"2","0",2,0,0,0,1,1.41,24,0.281,1,-1,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",21,"1","0",7,"2","2",0,0,0,0,-4,5.26,11,0.218,3,-1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"SL",6,"1","1",2,"2","1",1,0,0,0,-1,5.15,26,0.295,5,-1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"CH",3,"1","0",1,"2","2",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",19,"1","0",6,"0","0",0,0,1,0,-6,4.59,15,0.278,2,-1,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",4,"1","0",1,"1","0",1,1,0,0,-1,1.58,17,0.258,5,-1,13,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",5,"1","1",1,"3","2",1,1,1,0,0,2.18,13,0.259,3,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",25,"1","1",7,"3","2",1,0,0,0,1,2.42,4,0.246,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",17,"1","1",5,"3","1",0,1,0,0,-3,4.21,19,0.25,1,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",7,"1","0",2,"0","1",2,1,0,0,1,1.97,6,0.235,0,1,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",10,"1","0",3,"1","0",1,0,1,0,-2,0,1,0.25,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",22,"1","0",5,"0","1",1,1,0,0,-3,2.73,41,0.325,11,-1,11,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",5,"1","1",2,"2","2",0,0,0,0,8,2.73,72,0.295,19,-1,14,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",26,"1","0",8,"0","0",0,0,0,0,3,3.75,23,0.218,6,-1,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",20,"1","1",5,"2","2",1,0,1,0,-1,2.03,15,0.315,2,-1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",7,"1","1",2,"0","1",2,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",4,"1","0",1,"0","0",1,0,1,0,1,3.84,31,0.279,6,-1,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",10,"1","1",2,"0","2",2,1,0,0,-2,2.57,30,0.31,2,-1,9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CH",26,"1","1",8,"1","2",1,0,0,0,6,1.93,3,0.167,1,-1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",5,"1","1",2,"2","1",0,0,0,0,1,5.26,15,0.277,4,-1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",9,"1","1",3,"0","0",1,0,0,0,0,5.26,0,0,0,-1,3,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",9,"1","1",3,"1","1",0,1,0,0,-1,5.15,2,0.118,0,-1,3,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"SL",25,"1","1",7,"3","2",1,0,0,0,1,2.42,4,0.246,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",13,"1","0",3,"1","1",2,1,0,0,0,2.03,20,0.206,6,-1,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",9,"1","1",3,"1","2",0,0,0,0,1,2.84,0,0.3,0,1,12,8,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",14,"1","1",3,"0","0",1,0,0,0,-3,2.73,44,0.253,14,-1,11,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",18,"1","1",5,"2","2",0,0,0,0,2,1.65,0,0.111,0,1,11,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SL",2,"1","1",1,"0","1",1,0,0,0,0,5.5,7,0.26,1,-1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",5,"1","1",2,"3","2",0,0,0,0,2,2.74,43,0.288,15,1,16,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FT",10,"1","0",3,"1","2",0,0,0,0,2,1.61,46,0.258,9,1,17,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FT",21,"1","1",5,"0","0",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",25,"1","1",7,"1","1",2,0,1,1,1,1.61,13,0.328,1,1,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",1,"1","0",1,"0","0",0,0,0,0,1,4.42,12,0.243,2,-1,12,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",23,"1","1",7,"1","2",0,0,0,0,1,2.76,73,0.284,20,1,15,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"FF",8,"1","0",3,"0","0",0,0,0,0,-1,5.15,7,0.242,0,-1,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",4,"1","0",1,"2","2",2,1,0,0,0,2.38,24,0.286,5,-1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"FF",3,"1","0",1,"3","2",0,1,0,0,0,15.75,2,0.313,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",25,"1","1",6,"0","1",1,1,0,0,-5,2.65,37,0.251,6,1,12,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",3,"1","1",1,"1","2",2,0,0,0,0,9.9,10,0.297,3,-1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",8,"1","1",2,"3","2",0,0,1,1,0,2.31,5,0.265,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",28,"1","0",8,"2","1",1,0,0,0,0,1.52,22,0.273,2,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",6,"1","0",2,"3","0",2,0,0,0,0,2.42,10,0.268,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"FF",18,"1","1",5,"0","2",2,1,0,0,-1,1.93,0,0,0,-1,4,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",15,"1","0",4,"2","2",2,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",13,"1","0",3,"1","0",0,1,1,0,0,3.84,31,0.279,6,-1,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FT",16,"1","1",5,"2","1",1,0,0,0,2,2.78,30,0.25,8,-1,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",13,"1","1",4,"2","2",1,0,0,0,1,1.68,57,0.246,16,1,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SL",7,"1","1",2,"0","2",1,0,0,0,0,2.76,0,0.34,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",6,"1","1",1,"3","2",2,0,0,1,-1,2.62,27,0.311,9,-1,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",14,"1","0",4,"0","1",1,0,0,0,-2,1.58,17,0.258,5,-1,13,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",8,"1","1",2,"0","0",0,0,0,0,-2,2.18,4,0.232,0,1,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",25,"1","0",6,"0","0",2,0,0,0,1,2.75,3,0.179,0,1,12,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",2,"1","1",1,"0","0",1,0,0,0,0,1.61,60,0.302,10,1,14,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",8,"1","1",2,"0","0",1,1,1,1,0,0,4,0.4,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",12,"1","1",3,"0","0",0,0,0,0,-4,2.65,67,0.273,20,1,12,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",21,"1","0",6,"1","1",1,0,0,0,0,1.48,23,0.295,5,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",19,"1","0",6,"3","2",0,0,0,0,-1,1.3,31,0.249,14,-1,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SL",5,"1","1",2,"2","1",0,0,0,0,0,4.29,1,0.159,0,-1,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",12,"1","0",3,"1","2",0,0,0,0,4,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",21,"1","0",6,"3","2",1,0,0,0,6,2.89,33,0.327,9,1,9,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",17,"1","0",5,"1","0",1,0,0,0,0,2.42,1,0.056,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",6,"1","1",2,"0","1",0,1,0,0,0,1.59,42,0.238,19,1,12,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"CH",1,"1","0",1,"0","1",0,0,0,0,0,2.01,10,0.252,1,1,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",11,"1","0",3,"2","2",1,1,0,0,0,1.92,17,0.257,5,-1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",12,"1","1",4,"1","1",0,0,0,0,0,4.54,64,0.287,12,-1,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FT",23,"1","1",6,"1","1",0,0,0,0,1,2.75,31,0.224,11,1,12,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",26,"1","1",7,"0","0",0,0,0,0,1,2.78,24,0.271,3,-1,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",24,"1","1",7,"0","0",0,0,0,0,0,1.92,39,0.27,7,-1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",12,"1","0",4,"3","0",0,0,0,0,1,1.67,62,0.306,24,-1,13,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",18,"1","1",5,"0","2",2,0,0,0,-2,1.58,23,0.233,6,-1,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FT",10,"1","0",2,"2","0",2,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SL",16,"1","1",5,"1","0",2,0,0,0,0,4.71,5,0.186,0,-1,6,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FF",10,"1","0",3,"3","1",0,0,0,0,-1,2.72,21,0.266,3,1,13,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"SL",27,"1","1",7,"1","0",0,0,0,0,1,2.5,7,0.203,1,-1,8,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"SL",16,"1","1",4,"0","1",2,1,0,0,0,1.81,7,0.179,1,-1,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FT",5,"1","1",1,"0","1",1,1,1,0,0,2.18,13,0.259,3,1,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FF",25,"1","1",6,"0","1",2,0,0,0,1,1.59,45,0.248,11,-1,15,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FT",3,"1","1",1,"1","1",2,0,0,0,0,1.65,74,0.299,11,-1,18,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",27,"1","0",8,"2","1",0,0,0,0,0,1.52,1,0.192,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",7,"1","0",2,"1","1",1,0,0,0,-2,0,2,0.2,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",21,"1","1",7,"0","0",1,0,0,0,4,1.48,34,0.296,10,1,7,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",1,"1","0",1,"0","0",0,0,0,0,0,3.6,6,0.353,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",21,"1","0",5,"2","0",1,0,0,1,-2,2.03,18,0.306,3,-1,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",17,"1","1",5,"2","2",0,0,0,0,0,1.81,2,0.25,0,-1,5,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",4,"1","1",2,"0","1",0,0,0,0,0,3.6,1,0.188,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"SL",9,"1","1",3,"1","2",0,0,0,0,1,4.42,1,0.143,0,-1,12,7,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",4,"1","0",1,"3","0",1,0,1,0,0,2.18,17,0.277,4,1,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",19,"1","0",6,"1","2",0,0,0,0,1,3.62,31,0.233,18,-1,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"FT",14,"1","0",4,"1","1",2,0,0,0,-3,4.21,70,0.27,9,-1,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",1,"1","1",1,"0","2",0,0,0,0,0,4.29,6,0.2,2,-1,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",24,"1","0",7,"1","2",0,0,0,0,1,2.42,10,0.268,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",1,"1","1",1,"0","0",0,0,0,0,0,1.65,34,0.309,7,1,11,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",2,"1","0",1,"1","1",0,1,0,0,0,6.75,10,0.25,3,-1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",22,"1","1",5,"0","0",2,1,0,0,-2,2.03,25,0.293,2,-1,7,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",3,"1","1",1,"1","2",1,0,0,0,3,5.08,25,0.335,5,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",4,"1","0",2,"3","1",0,0,0,0,0,2.01,14,0.202,3,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",12,"1","1",3,"0","0",1,0,0,0,1,1.83,14,0.333,1,-1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",18,"1","1",5,"0","2",1,0,0,0,-1,2.62,0,0.087,0,-1,8,2,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",1,"1","0",1,"1","0",0,0,0,0,0,3.84,20,0.268,4,-1,8,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",16,"1","1",4,"0","0",2,0,0,0,1,1.61,25,0.239,2,1,17,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",24,"1","1",6,"2","1",1,1,0,1,-3,2.71,56,0.252,18,-1,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FF",2,"1","0",1,"0","1",1,0,0,0,0,3.12,1,0.25,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",12,"1","1",3,"1","0",0,0,0,0,2,1.41,45,0.282,12,-1,10,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",3,"1","1",1,"2","1",1,0,0,0,0,4.29,60,0.298,12,-1,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FT",20,"1","1",6,"1","1",2,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SL",1,"1","1",1,"1","2",0,0,0,0,0,1.59,43,0.288,8,1,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
