"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeEP","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeEP","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"SL",30,"1","1",7,"0","1",2,1,1,0,1,2.75,56,0.268,8,1,12,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FT",3,"1","0",1,"0","0",0,1,1,0,0,1.48,23,0.295,5,1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",20,"1","1",6,"0","0",0,1,0,1,3,5.5,7,0.26,1,-1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",2,"1","0",1,"2","2",0,1,0,0,0,2.73,24,0.247,6,-1,11,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"CH",11,"1","0",4,"2","0",0,0,0,0,1,1.37,56,0.272,13,1,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",2,"1","1",1,"1","2",1,0,0,0,0,4.31,71,0.273,23,-1,11,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",1,"1","0",1,"0","0",0,0,0,0,0,1.35,4,0.306,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",5,"1","0",1,"1","0",2,1,1,0,0,2.84,41,0.307,8,1,12,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"CH",8,"1","0",3,"0","1",0,0,0,0,9,2.73,62,0.238,9,-1,14,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"SL",13,"1","1",3,"3","2",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",10,"1","0",4,"1","0",0,0,0,0,0,1.95,32,0.24,8,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",6,"1","1",2,"0","0",0,1,0,0,0,0,2,0.333,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",13,"1","1",4,"3","2",1,0,0,0,6,2.89,40,0.256,6,1,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
