"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball"
"Fastball",5,"1","0",2,"2","2",1,0,0,0,0,4.5,10,0.231,1,-1,0,0,0,0,0,0,0,1,0,0,0,1
"CurveBall",2,"1","0",6,"1","0",2,0,0,0,2,4.5,21,0.267,6,-1,0,0,0,0,0,0,1,0,1,0,0,0
"ChangeUp",8,"1","1",2,"2","1",0,0,0,0,-2,1.93,18,0.254,5,-1,1,0,0,0,0,0,0,1,0,0,0,1
"Fastball",8,"1","0",5,"1","2",0,1,0,1,0,0,1,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",9,"1","0",3,"2","1",1,0,0,0,3,4.5,15,0.277,1,-1,1,1,0,0,0,1,0,0,0,0,0,1
"CurveBall",2,"1","0",4,"0","0",0,0,0,0,0,0,3,0.25,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",7,"1","0",5,"2","2",0,1,0,0,0,0,0,0.333,0,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",6,"1","1",2,"1","1",1,0,0,0,3,4.5,30,0.29,10,-1,1,1,0,0,0,0,0,1,0,0,0,1
"CurveBall",1,"1","0",6,"0","0",1,0,0,0,2,4.5,4,0.181,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",2,"1","0",6,"1","1",2,0,0,0,2,4.5,21,0.267,6,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",3,"1","1",1,"0","2",1,0,0,0,0,0,37,0.266,15,1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",2,"1","0",6,"2","1",2,0,0,0,2,4.5,21,0.267,6,-1,0,0,0,0,0,0,0,1,0,0,1,0
"CurveBall",1,"1","1",1,"1","2",0,0,0,0,0,0,1,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,0,1
"CurveBall",8,"1","1",4,"1","0",2,0,0,0,3,3.5,20,0.244,5,1,1,1,0,0,0,0,0,1,1,0,0,0
"Fastball",6,"1","1",5,"0","0",0,0,1,0,8,4.5,30,0.29,10,-1,1,1,0,0,1,0,0,0,1,0,0,0
"Fastball",7,"1","1",3,"0","0",1,1,0,0,-4,1.93,35,0.231,5,-1,1,0,0,0,1,0,0,0,1,0,0,0
"CurveBall",7,"1","1",2,"1","0",0,0,0,0,2,3.86,22,0.261,5,1,2,1,0,0,0,0,1,0,1,0,0,0
