pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,5,1,0,6,1,1,0,1,0,0,-1,4.11,39,0.231,10,1,7,4,0,0,0,0,0,0,1,0,0,0,1,0
Fastball,5,1,0,2,1,0,0,0,0,0,1,4.82,34,0.226,8,-1,5,4,0,0,0,1,0,0,0,1,0,0,0,0
ChangeUp,4,1,0,3,2,2,0,0,0,0,0,3.26,40,0.32,6,-1,13,5,0,0,0,0,0,0,1,0,0,0,1,0
KnuckleBall,8,1,0,4,1,0,1,0,1,0,4,0.84,7,0.227,0,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
Slider/Cutter,2,1,1,3,0,1,0,1,0,0,0,4.11,24,0.269,2,1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
KnuckleBall,1,1,0,1,0,1,0,0,0,0,0,3.92,30,0.29,11,1,7,5,0,0,0,0,1,0,0,1,0,0,0,0
ChangeUp,3,1,1,1,3,2,0,0,0,0,-2,1.35,2,0.167,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,4,1,0,3,3,0,1,1,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,1,4,0,0,0,0,0,0,0,4.03,44,0.293,4,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,1,1,3,1,0,0,1,0,-1,4.91,46,0.311,15,1,5,3,0,0,0,0,0,0,1,0,1,0,0,0
Fastball,2,1,0,1,0,0,1,0,0,0,0,3.78,31,0.247,9,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,1,1,2,0,1,0,0,0,4.63,14,0.253,2,-1,5,2,0,0,0,0,0,0,1,0,0,0,0,1
Slider/Cutter,5,1,1,2,0,0,1,0,0,0,1,5.61,25,0.208,9,1,3,7,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,7,1,0,7,0,0,1,0,1,0,10,3.78,33,0.26,4,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,9,1,0,2,1,1,2,1,1,1,0,5.2,7,0.241,0,1,5,2,0,0,0,1,0,0,0,0,0,1,0,0
KnuckleBall,3,1,1,2,3,2,0,1,0,0,-4,1.71,13,0.262,6,-1,2,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,1,1,0,3,2,2,0,0,0,0,0,5.2,13,0.339,1,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,2,1,0,3,1,2,0,0,0,0,4,0.84,3,0.13,2,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,1,1,1,7,1,2,2,0,0,0,4,3.29,13,0.287,4,1,12,5,0,0,0,1,0,0,0,0,1,0,0,0
ChangeUp,2,1,1,3,3,2,2,1,0,0,0,4.21,50,0.282,12,-1,7,4,0,0,0,0,1,0,0,0,0,0,0,1
ChangeUp,8,1,0,4,0,0,0,1,0,0,-1,5.2,14,0.218,2,1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,0,1,0,6,1,1,0,0,0,0,4,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,7,1,1,2,0,0,0,0,0,0,-1,4.03,33,0.25,5,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,8,1,0,2,1,2,1,1,0,1,-1,3.36,21,0.156,6,1,12,5,0,0,0,1,0,0,0,0,0,1,0,0
Slider/Cutter,4,1,0,9,0,2,1,1,0,0,4,3.97,16,0.261,1,-1,3,2,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,8,1,1,2,0,1,0,1,0,0,-4,4.63,19,0.202,3,-1,5,2,0,0,0,0,1,0,0,1,0,0,0,0
KnuckleBall,8,1,0,4,2,2,0,1,1,0,0,3.41,24,0.275,4,1,11,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,7,1,1,6,0,0,0,1,1,0,1,4.03,33,0.25,5,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,6,1,0,3,0,2,2,1,1,0,0,4.97,14,0.178,4,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,1
Fastball,7,1,1,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Fastball,6,1,0,2,2,1,0,0,1,0,-1,3.36,58,0.217,21,1,12,5,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,5,1,0,3,2,0,0,0,0,0,-3,3.8,9,0.169,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1
KnuckleBall,3,1,0,1,1,1,0,0,1,1,-2,4.63,21,0.256,2,-1,5,2,0,0,0,0,0,1,0,0,0,0,0,1
Fastball,4,1,0,4,2,1,1,1,0,0,5,3.78,49,0.313,12,1,8,5,0,0,0,0,0,1,0,0,0,1,0,0
ChangeUp,4,1,0,4,1,0,0,0,1,0,1,4.82,35,0.25,12,-1,5,4,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,4,2,0,1,0,0,0,-4,4.18,29,0.251,7,1,7,4,0,0,0,0,1,0,0,0,0,0,0,1
ChangeUp,6,1,0,3,1,0,1,1,0,0,-1,3.26,2,0.179,1,-1,13,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,7,1,0,7,2,0,0,0,0,0,3,4.82,16,0.225,4,-1,5,4,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,8,1,1,4,1,2,0,1,1,0,0,3.92,34,0.245,6,1,7,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,7,1,1,2,3,1,0,0,0,0,-1,4.18,9,0.302,0,1,7,4,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,6,1,0,6,1,0,1,0,1,0,2,4.97,14,0.178,4,-1,4,2,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,4,1,0,4,0,1,1,1,0,0,5,3.78,49,0.313,12,1,8,5,0,0,0,0,0,0,1,1,0,0,0,0
Slider/Cutter,3,1,0,7,0,0,0,0,0,0,4,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,1,1,0,0,0,0,0,0,0,3.29,13,0.287,4,1,12,5,0,0,1,0,0,0,0,1,0,0,0,0
