"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",4,"1","1",2,"0","2",0,0,0,0,0,2.86,85,0.237,36,-1,7,5,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"1","0",3,"0","0",1,0,0,0,1,3.18,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",8,"1","1",2,"1","2",2,0,1,0,0,2.84,4,0.333,1,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",16,"1","1",4,"0","0",2,0,0,0,0,3.14,40,0.234,9,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","1",1,"0","2",1,1,0,0,-2,2.38,13,0.29,3,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",19,"1","0",5,"1","1",1,0,0,0,-3,7.31,12,0.329,1,-1,0,2,0,0,0,0,0,1,0,0,0,1,0,0
"ChangeUp",11,"1","1",4,"0","1",0,0,0,0,1,2.86,54,0.343,7,-1,7,5,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",13,"1","0",4,"0","1",1,0,0,0,2,3.88,52,0.23,19,-1,3,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",21,"1","0",6,"1","1",1,1,0,0,11,4.74,38,0.371,10,1,5,4,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",26,"1","1",6,"0","0",1,1,0,0,-3,4.71,9,0.224,2,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",3,"1","1",0,0,0,0,-1,7.31,12,0.329,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",10,"1","1",3,"0","2",1,0,1,0,0,2.69,78,0.277,13,-1,7,4,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",20,"1","0",4,"1","0",1,1,0,0,-4,2.47,26,0.277,3,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",15,"1","1",4,"1","1",2,1,1,0,4,3.23,34,0.257,7,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",18,"1","1",5,"0","2",1,0,0,0,10,4.74,5,0.211,2,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",1,"0","0",0,0,0,0,0,2.65,41,0.284,1,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",12,"1","1",3,"1","0",0,0,0,0,-1,2.38,10,0.354,2,-1,2,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",8,"2","2",2,0,0,0,-4,5.5,3,0.324,0,-1,0,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",21,"1","1",5,"0","0",1,1,1,0,-3,4.71,17,0.343,2,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",26,"1","0",6,"2","1",0,0,0,0,-4,0,0,0.267,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",23,"1","1",6,"0","2",2,1,0,0,6,2.56,36,0.229,8,1,4,2,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",16,"1","0",4,"1","0",0,0,0,0,1,4.98,19,0.195,7,1,4,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"1","1",8,"0","0",1,0,0,0,-3,4.87,5,0.176,2,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"1","0",3,"1","0",1,0,0,0,-1,3,2,0.278,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",16,"1","0",4,"1","1",0,0,0,0,0,4.6,6,0.203,2,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",25,"1","1",5,"0","1",2,1,0,0,-4,0,1,0.2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","0",1,"0","1",2,0,0,0,0,2.86,33,0.268,8,-1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",1,"1","1",1,"1","1",0,0,0,0,0,2.38,4,0.297,1,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",12,"1","0",3,"0","0",1,0,1,0,1,4.98,21,0.285,7,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","1",1,"2","2",0,0,0,0,0,2.69,78,0.277,13,-1,7,4,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",15,"1","0",3,"0","0",2,0,0,1,-3,4.6,1,0.125,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",15,"1","0",4,"1","2",0,0,0,0,-3,7.31,6,0.165,2,-1,0,2,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",11,"1","1",4,"1","1",0,0,0,0,1,3.18,1,0.182,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",3,"1","1",6,"3","2",0,1,0,0,0,6.03,15,0.275,3,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",7,"1","2",1,0,0,0,0,6.03,19,0.234,4,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
