"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",1,"1","0",3,"0","0",0,0,0,0,0,3.05,17,0.323,2,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"3","2",0,0,0,0,0,0,0,0.143,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Slider.Cutter",2,"1","1",4,"1","2",0,0,0,0,0,2.72,19,0.276,3,-1,5,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",1,"1","0",5,"0","0",2,0,0,0,-1,3.11,20,0.284,2,-1,5,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","0",4,"1","1",2,0,1,0,-6,1.98,14,0.26,2,-1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",5,"0","0",1,1,0,0,1,3.04,0,0.111,0,1,4,0,1,2,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",9,"1","1",2,"1","2",2,0,1,1,-1,2.99,1,0.152,0,-1,7,5,6,2,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",1,"1","1",1,"1","0",0,0,0,0,0,3.18,28,0.29,4,1,7,5,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",2,"1","1",6,"0","0",1,0,1,0,1,2.72,19,0.276,3,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",7,"2","0",0,0,0,0,1,3.04,15,0.217,2,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",4,"1","0",5,"1","0",0,0,0,0,-2,2.99,31,0.267,12,-1,7,5,0,0,0,0,1,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","1",2,"2","1",2,0,0,0,-1,3.11,11,0.221,3,-1,5,3,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",6,"1","0",2,"0","0",0,0,1,1,0,2.99,28,0.269,10,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",1,"1","0",8,"0","0",0,0,0,0,1,2.31,18,0.311,5,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",8,"1","0",6,"0","0",1,0,0,0,-3,3.07,5,0.2,2,-1,8,6,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",4,"0","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
