"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",2,"0","0",6,"0","0",2,0,1,0,4,1.92,17,0.233,1,-1,11,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",3,"0","1",2,0,0,0,2,3.32,6,0.318,1,-1,4,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",0,"0","0",3,"0","0",1,1,0,0,5,1.7,0,0,0,-1,19,3,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"0","0",6,"1","2",2,0,0,0,2,1.76,24,0.295,0,1,12,2,0,0,0,0,1,0,0,0,0,1,0,0
"Slider.Cutter",4,"0","1",6,"0","0",0,1,0,0,0,1.64,5,0.261,1,-1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"0","0",1,"2","1",0,0,0,0,0,1.92,17,0.233,1,-1,11,2,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",6,"0","1",5,"1","2",0,1,0,0,6,4.32,18,0.249,3,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",1,"0","0",1,"0","1",0,0,0,0,0,4.07,4,0.309,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",0,"0","1",7,"2","1",1,0,0,0,-2,4.24,16,0.238,3,-1,2,2,0,0,0,0,1,0,0,0,0,1,0,0
"Slider.Cutter",1,"0","1",4,"0","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",4,"0","0",3,"1","2",1,0,0,0,-2,1.79,86,0.302,18,-1,11,2,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",3,"0","1",3,"0","0",2,0,0,0,-2,3.49,16,0.276,3,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"0","1",8,"1","0",2,0,0,0,-2,1.78,53,0.304,12,1,14,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"0","0",5,"0","2",0,0,1,0,1,1.46,32,0.26,6,-1,8,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"0","0",5,"2","0",2,0,0,0,1,3.32,0,0.105,0,-1,4,2,6,4,0,0,0,1,0,0,0,0,1,0
"CurveBall",5,"0","1",2,"1","2",1,0,0,0,0,1.8,19,0.264,3,1,20,3,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",7,"0","1",3,"1","2",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",3,"0","1",1,"2","2",1,1,0,0,0,2.24,36,0.244,11,1,8,2,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"0","1",3,"2","1",0,0,0,0,0,1.82,0,0.222,0,-1,13,2,2,2,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",8,"0","1",7,"2","2",0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",4,"0","1",4,"2","2",0,0,1,0,-1,4.24,21,0.308,7,-1,2,2,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",3,"0","1",6,"0","2",0,0,0,0,6,2.24,36,0.244,11,1,8,2,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",5,"0","1",2,"0","0",0,1,0,0,2,3.32,13,0.331,4,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
