"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",15,"1","0",4,"0","1",2,0,0,0,1,0,1,0.118,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","0",1,"2","2",2,0,0,0,0,3.34,97,0.331,41,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",2,"0","2",2,0,0,0,1,3.11,32,0.284,2,-1,4,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",10,"1","0",3,"3","2",0,0,0,0,-1,3.77,17,0.321,2,1,2,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",3,"1","1",0,1,1,0,1,3.11,1,0.222,0,-1,4,4,6,5,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",2,"0","1",0,1,0,0,1,1.82,21,0.239,7,-1,2,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"1","1",5,"0","2",0,0,0,0,2,2.97,50,0.251,16,1,4,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"1","1",3,"1","0",1,0,0,0,0,0,18,0.253,2,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",21,"1","0",6,"1","2",1,0,0,0,6,2.6,21,0.199,3,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",11,"1","1",4,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",7,"1","1",2,"2","1",0,0,0,1,1,3.76,27,0.268,3,-1,2,4,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",1,"1","0",1,"2","0",0,0,0,0,0,1.94,14,0.292,2,1,5,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","1",1,"0","0",0,0,0,0,0,2.43,53,0.315,13,1,9,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",20,"1","0",6,"2","0",1,0,0,0,4,3.39,76,0.316,29,-1,8,7,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",5,"1","1",2,"0","1",0,0,0,0,-1,1.84,27,0.213,12,-1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",3,"0","0",0,0,0,0,0,3.34,12,0.264,5,1,9,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",20,"1","0",6,"2","0",1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",8,"1","1",2,"2","1",1,0,0,0,1,3.01,3,0.212,1,1,6,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",15,"1","0",4,"0","0",2,0,0,1,0,3.59,28,0.27,10,-1,3,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"1","1",4,"1","2",0,0,0,0,0,2.76,56,0.289,13,-1,10,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",1,"0","0",1,0,0,0,0,2.97,33,0.247,5,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",22,"1","0",7,"0","0",0,0,0,0,9,3.39,84,0.229,26,-1,8,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"1","2",0,0,0,0,0,2.43,53,0.315,13,1,9,4,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",23,"1","0",7,"1","1",0,0,0,0,-1,3.34,33,0.268,9,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"1","0",3,"2","0",1,0,1,0,1,3.17,34,0.274,5,-1,7,6,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",2,"1","0",1,"0","2",1,0,0,0,1,3.11,43,0.266,9,-1,4,4,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"1","1",2,"0","0",2,1,1,1,0,3.05,3,0.121,0,-1,4,5,8,5,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","0",1,"2","0",2,1,0,1,-1,4.15,4,0.244,0,1,2,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,3,2.66,7,0.318,1,-1,6,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"1","1",4,"3","1",2,0,0,0,1,3.01,39,0.3,9,1,6,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",22,"1","0",7,"0","0",1,0,0,0,2,3.31,44,0.295,7,-1,8,6,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"1","2",2,0,0,0,0,3.34,62,0.236,19,1,9,7,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",1,"1","0",1,"0","1",0,0,0,0,0,3.01,46,0.285,13,1,6,6,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",18,"1","0",5,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",22,"1","0",6,"0","0",1,1,0,1,4,5.06,18,0.292,6,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"2","0",2,0,0,0,2,2.97,45,0.229,11,1,4,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","0",2,"3","1",1,0,0,0,-1,4.15,22,0.235,2,1,2,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","0",2,"0","1",0,0,0,0,1,5.06,18,0.292,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
