"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"CurveBall",12,"0","1",3,"2","1",0,0,0,0,-3,3.69,43,0.318,8,1,4,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",23,"0","1",7,"2","0",0,0,0,0,0,4,13,0.282,4,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",19,"0","1",4,"2","2",1,1,0,1,-1,3.15,23,0.309,5,1,6,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",21,"0","1",5,"2","0",2,0,0,0,1,3.3,90,0.252,22,-1,8,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,3.44,26,0.265,3,-1,7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",2,"0","1",1,0,0,0,0,4,1,0,0,-1,3,6,4,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",23,"0","1",5,"2","1",1,1,0,0,-1,3.92,41,0.305,10,-1,3,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",21,"0","1",6,"2","2",1,1,1,0,2,3.61,40,0.347,11,-1,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",5,"0","1",2,"0","1",0,0,0,0,0,3.24,39,0.237,11,1,5,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,0,3.04,24,0.216,1,-1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","0",1,"0","0",2,0,0,0,0,2.77,7,0.233,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",23,"0","1",6,"3","2",0,1,0,0,-1,4.39,3,0.22,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",7,"0","1",2,"0","1",0,0,0,0,0,4,23,0.257,4,-1,3,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",22,"0","1",6,"1","0",1,0,0,0,0,3.67,17,0.253,1,-1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","0",3,"0","2",2,0,0,0,1,3.2,24,0.217,1,-1,5,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",14,"0","1",4,"0","0",0,1,0,1,-3,4.13,25,0.28,7,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",1,"1","0",0,0,0,0,0,3.44,26,0.265,3,-1,7,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",17,"0","1",5,"0","0",0,1,1,0,2,3.38,52,0.286,3,1,7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",23,"0","1",5,"2","2",2,0,0,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",17,"0","1",5,"2","2",1,1,0,0,5,3.48,18,0.252,4,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",4,"0","1",1,"0","0",1,0,1,0,-1,3.95,26,0.236,5,-1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",14,"0","1",3,"3","2",1,0,0,0,-1,0,0,0.5,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
